Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730730122.867972008;11801;3061;3288;797;63993
1730730123.074267223;11801;3061;3288;797;63993
1730730123.280684414;11814;3091;3288;819;64892
1730730123.487017207;11814;3091;3288;819;64892
1730730123.693284692;11811;2978;3289;811;63866
1730730123.899634677;11811;2978;3289;811;64084
1730730124.105935915;11794;2988;3290;837;64084
1730730124.312368828;11794;2988;3290;837;62860
1730730124.518666478;11749;3013;3290;851;62860
1730730124.725108723;11811;3048;3287;843;63577
1730730124.931461653;11811;3048;3287;843;63577
1730730125.137813687;11791;3123;3288;829;64979
1730730125.344165540;11791;3123;3288;829;64979
1730730125.550405279;11811;3048;3286;784;64435
1730730125.756762505;11811;3048;3286;784;64435
1730730125.963065972;11811;3029;3287;786;63097
1730730126.169263896;11811;3029;3287;786;63097
1730730126.375560535;11804;3066;3288;784;63441
1730730126.581772004;11804;3066;3288;784;63441
1730730126.788119286;11794;3091;3287;776;63960
1730730126.994394121;11794;3091;3287;776;63960
1730730127.200772555;11798;3064;3288;851;64462
1730730127.406989309;11798;3064;3288;851;64460
1730730127.613319978;11743;3179;3288;821;64460
1730730127.819559068;11743;3179;3288;821;66619
1730730128.025773470;11807;3031;3287;819;66619
1730730128.232054491;11823;3045;3288;827;62784
1730730128.438316478;11823;3045;3288;827;62784
1730730128.644624103;11701;3053;3287;829;65023
1730730128.850958821;11701;3053;3287;829;65023
1730730129.057308547;11798;3160;3286;867;64931
1730730129.263706204;11798;3160;3286;867;64931
1730730129.470147679;11817;3053;3287;794;66602
1730730129.676527585;11817;3053;3287;794;66602
1730730129.883041033;11807;3166;3286;778;63567
1730730130.089281112;11807;3166;3286;778;63567
1730730130.295672628;11817;3120;3287;829;64972
1730730130.501974634;11817;3120;3287;829;64972
1730730130.708526405;11885;3174;3288;770;64710
1730730130.914859108;11885;3174;3288;770;66758
1730730131.121252191;11804;3150;3287;786;66758
1730730131.327615903;11804;3150;3287;786;65380
1730730131.533991018;11811;3034;3286;824;65380
1730730131.740433291;11804;3120;3288;835;63407
1730730131.946622817;11804;3120;3288;835;63407
1730730132.152958773;11814;3066;3287;832;64076
1730730132.359296757;11814;3066;3287;832;64076
1730730132.565510517;11798;3031;3287;843;64928
1730730132.771797839;11798;3031;3287;843;64928
1730730132.978260712;11791;3152;3286;789;61959
1730730133.184658047;11791;3152;3286;789;61959
1730730133.390952900;11785;3120;3287;781;63875
1730730133.597280110;11785;3120;3287;781;63875
1730730133.803515862;11807;3136;3288;821;63986
1730730134.009861152;11807;3136;3288;821;63986
1730730134.216083666;11798;3082;3287;848;64186
1730730134.422311876;11798;3082;3287;848;64123
1730730134.628550903;11814;3128;3288;859;64123
1730730134.834950021;11814;3128;3288;859;65285
1730730135.041269467;11788;3085;3287;835;65285
1730730135.247560174;11798;3013;3287;827;64664
1730730135.453786437;11798;3013;3287;827;64664
1730730135.660031156;11794;3066;3289;784;63568
1730730135.866326856;11794;3066;3289;784;63568
1730730136.072702216;11798;3096;3287;808;64352
1730730136.279028466;11798;3096;3287;808;64352
1730730136.485230019;11811;3163;3289;853;65296
1730730136.691430236;11811;3163;3289;853;65296
1730730136.897721935;11804;3080;3288;864;65556
1730730137.104051406;11804;3080;3288;864;65556
1730730137.310340665;11811;3142;3290;827;63826
1730730137.516712110;11811;3142;3290;827;63826
1730730137.722879088;11801;3091;3289;845;64440
1730730137.929206558;11801;3091;3289;845;64440
1730730138.135480532;11762;3115;3288;768;65226
1730730138.341938110;11762;3115;3288;768;64670
1730730138.548314359;11688;3082;3285;843;64670
1730730138.754511303;11798;3131;3289;851;64537
1730730138.960795528;11798;3131;3289;851;64537
1730730139.166942428;11820;3058;3289;827;65216
1730730139.373245009;11820;3058;3289;827;65216
1730730139.579579500;11782;3066;3287;843;65130
1730730139.785948287;11782;3066;3287;843;65130
1730730139.992307932;11814;3088;3289;800;63084
1730730140.198709182;11814;3088;3289;800;63084
1730730140.405062314;11811;3023;3286;840;66144
1730730140.611374593;11811;3023;3286;840;66144
1730730140.817589564;11811;3048;3288;829;64192
1730730141.023819665;11811;3048;3288;829;64192
1730730141.229998402;11769;3013;3287;864;64745
1730730141.436478339;11769;3013;3287;864;64745
1730730141.642698933;11817;3125;3287;797;63033
1730730141.849008309;11817;3125;3287;797;64753
1730730142.055232655;11727;3056;3287;794;64753
1730730142.261423688;11811;3042;3287;805;63050
1730730142.467861468;11811;3042;3287;805;63050
1730730142.674242307;11753;2997;3288;792;62776
1730730142.880805459;11753;2997;3288;792;62776
1730730143.087996561;11414;3050;3288;811;62531
1730730143.295045810;11414;3050;3288;811;62531
1730733026.464362174;11865;2505;3287;773;47699
1730733026.670733951;11865;2505;3287;773;47699
1730733026.877027327;11872;2583;3287;786;48131
1730733027.083260984;11872;2583;3287;786;48131
1730733027.289530705;11872;2559;3285;792;48905
1730733027.496089730;11872;2559;3285;792;48905
1730733027.702443440;11875;2553;3287;794;49460
1730733027.908945071;11875;2553;3287;794;49460
1730733028.115231487;11852;2591;3287;851;50672
1730733028.321612586;11852;2591;3287;851;50672
1730733028.528128741;11862;2602;3288;797;49901
1730733028.734336165;11862;2602;3288;797;49901
1730733028.940614233;11869;2591;3287;829;47932
1730733029.147083375;11869;2591;3287;829;49885
1730733029.353410968;11865;2521;3286;837;49885
1730733029.559796932;11865;2521;3286;837;48439
1730733029.765976558;11862;2505;3287;773;48439
1730733029.972150215;11881;2588;3287;778;49631
1730733030.178189257;11881;2588;3287;778;49631
1730733030.384441120;11785;2578;3290;829;49898
1730733030.590682324;11785;2578;3290;829;49898
1730733030.797067560;11869;2524;3287;789;49496
1730733031.003258793;11869;2524;3287;789;49496
1730733031.209495355;11849;2655;3288;856;49726
1730733031.415844228;11849;2655;3288;856;49726
1730733031.621950539;11875;2529;3287;853;49148
1730733031.828239432;11875;2529;3287;853;49148
1730733032.034511180;11846;2543;3287;802;49590
1730733032.240691445;11846;2543;3287;802;49590
1730733032.447003968;11859;2567;3291;867;47913
1730733032.653259242;11859;2567;3291;867;47913
1730733032.859718036;11846;2618;3286;789;49591
1730733033.065951663;11846;2618;3286;789;50461
1730733033.272138348;11862;2591;3287;862;50461
1730733033.478501921;11852;2553;3286;845;49916
1730733033.684769704;11852;2553;3286;845;49916
1730733033.891089429;11875;2543;3287;864;50206
1730733034.097306255;11875;2543;3287;864;50206
1730733034.303731599;11856;2535;3288;776;49326
1730733034.509953705;11856;2535;3288;776;49326
1730733034.716507822;11856;2521;3288;784;49239
1730733034.922836838;11856;2521;3288;784;49239
1730733035.129369956;11862;2537;3287;797;50080
1730733035.335752121;11862;2537;3287;797;50080
1730733035.542128593;11637;2613;3287;824;47903
1730733035.748517507;11637;2613;3287;824;47903
1730733035.955113272;11604;2594;3290;845;48305
1730733036.161538656;11604;2594;3290;845;48305
1730733036.368367305;11836;2559;3289;856;48936
1730733036.574686947;11836;2559;3289;856;49416
1730733036.781061394;11843;2521;3288;845;49416
1730733036.987448141;11840;2580;3287;816;48762
1730733037.193827512;11840;2580;3287;816;48762
1730733037.400045525;11856;2502;3289;829;50070
1730733037.606216064;11856;2502;3289;829;50070
1730733037.812662601;11856;2516;3289;851;49975
1730733038.018809276;11856;2516;3289;851;49975
1730733038.225123656;11830;2468;3287;840;48146
1730733038.431353532;11830;2468;3287;840;48146
1730733038.637634353;11843;2561;3286;800;47640
1730733038.843912687;11843;2561;3286;800;47640
1730733039.050163971;11843;2508;3288;821;49194
1730733039.256439101;11843;2508;3288;821;49194
1730733039.462737367;11769;2575;3287;832;48887
1730733039.669110636;11769;2575;3287;832;48887
1730733039.875636748;11862;2476;3287;786;48981
1730733040.082018479;11862;2476;3287;786;48094
1730733040.288479563;11736;2559;3289;794;48094
1730733040.494682351;11846;2607;3289;856;50895
1730733040.701012378;11846;2607;3289;856;50895
1730733040.907303137;11872;2395;3289;811;50673
1730733041.113553824;11872;2395;3289;811;50673
1730733041.319976254;11840;2588;3287;856;47327
1730733041.526390789;11840;2588;3287;856;47327
1730733041.732595090;11865;2580;3290;832;49440
1730733041.939021822;11865;2580;3290;832;49440
1730733042.145461511;11862;2527;3287;853;50814
1730733042.351864487;11862;2527;3287;853;50814
1730733042.558291332;11801;2494;3287;816;47714
1730733042.764583265;11801;2494;3287;816;47714
1730733042.970818267;11846;2535;3287;867;49498
1730733043.177016036;11846;2535;3287;867;49498
1730733043.383248682;11743;2470;3287;786;49037
1730733043.589673042;11743;2470;3287;786;47893
1730733043.795927540;11849;2521;3289;851;47893
1730733044.001959311;11746;2553;3288;808;48796
1730733044.208162357;11746;2553;3288;808;48796
1730733044.414344216;11859;2610;3289;856;48738
1730733044.620764521;11859;2610;3289;856;48738
1730733044.826897521;11811;2529;3287;851;49505
1730733045.033444994;11811;2529;3287;851;49505
1730733045.240634725;11475;2682;3287;821;49362
1730733045.447740879;11475;2682;3287;821;49362
1730733045.654926443;11453;2529;3289;824;48759
1730733045.862036168;11453;2529;3289;824;48759
1730733046.069196668;11459;2604;3291;819;48870
1730733046.276248391;11459;2604;3291;819;48870
1730733046.483185310;11472;2473;3286;773;48735
1730733046.689482102;11472;2473;3286;773;48735
1730733046.895752894;11869;2529;3288;862;46701
