Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730735743.394219186;11785;3287;3288;832;71341
1730735743.600695872;11778;3375;3288;776;70900
1730735743.807052048;11778;3375;3288;776;70900
1730735744.013409967;11782;3134;3287;784;71595
1730735744.220229448;11782;3134;3287;784;71595
1730735744.427463323;11392;3313;3287;845;68299
1730735744.634666491;11392;3313;3287;845;67251
1730735744.841896877;11379;3407;3286;778;67251
1730735745.049048335;11388;3405;3287;851;69667
1730735745.256121960;11388;3405;3287;851;69667
1730735745.463092990;11788;3327;3289;843;70366
1730735745.669527702;11788;3327;3289;843;70366
1730735745.875878308;11804;3246;3287;843;70623
1730735746.082051844;11804;3246;3287;843;70623
1730735746.288261329;11791;3276;3287;805;70394
1730735746.494511765;11791;3276;3287;805;70394
1730735746.700782524;11804;3289;3286;824;70755
1730735746.907141845;11804;3289;3286;824;70755
1730735747.113444606;11791;3391;3287;845;69270
1730735747.319656832;11791;3391;3287;845;69270
1730735747.525965340;11801;3257;3288;840;70689
1730735747.732354315;11801;3257;3288;840;70689
1730735747.938616745;11785;3343;3287;856;69092
1730735748.144853756;11785;3343;3287;856;71481
1730735748.351205259;11788;3303;3287;811;71481
1730735748.557703351;11775;3305;3287;843;71387
1730735748.763976267;11775;3305;3287;843;71387
1730735748.970136691;11736;3324;3289;859;69624
1730735749.176437944;11736;3324;3289;859;69624
1730735749.382508902;11785;3287;3288;781;71662
1730735749.588908790;11785;3287;3288;781;71662
1730735749.795130489;11881;3354;3288;794;70016
1730735750.001449549;11881;3354;3288;794;70016
1730735750.207793080;11791;3346;3287;778;71833
1730735750.414071742;11791;3346;3287;778;71833
1730735750.620370700;11782;3246;3288;848;70379
1730735750.826605592;11782;3246;3288;848;70379
1730735751.032940618;11772;3217;3287;781;69551
1730735751.239252609;11772;3217;3287;781;69551
1730735751.445515905;11798;3279;3288;778;68129
1730735751.651876676;11798;3279;3288;778;69431
1730735751.858146197;11704;3222;3287;856;69431
1730735752.064482169;11798;3209;3287;786;69983
1730735752.270718976;11798;3209;3287;786;69983
1730735752.477053606;11785;3217;3289;843;69358
1730735752.683346254;11785;3217;3289;843;69358
1730735752.889596813;11772;3305;3287;805;67448
1730735753.095944436;11772;3305;3287;805;67448
1730735753.302143046;11778;3297;3288;816;71814
1730735753.508418290;11778;3297;3288;816;71814
1730735753.714734002;11798;3284;3289;843;69585
1730735753.920954923;11798;3284;3289;843;69585
1730735754.127317438;11791;3279;3289;843;71155
1730735754.333647609;11791;3279;3289;843;71155
1730735754.539991511;11872;3389;3286;827;70288
1730735754.746327923;11872;3389;3286;827;70288
1730735754.952639080;11798;3225;3290;840;71867
1730735755.158840426;11798;3225;3290;840;69104
1730735755.365225393;11791;3260;3287;784;69104
1730735755.571567322;11791;3260;3287;827;70139
1730735755.777894022;11537;3276;3287;827;70139
1730735755.984354990;11782;3359;3288;808;68363
1730735756.190605884;11782;3359;3288;808;68363
1730735756.396940950;11843;3477;3287;819;70640
1730735756.603395812;11843;3477;3287;819;70640
1730735756.809613292;11743;3364;3288;837;73261
1730735757.015933762;11743;3364;3288;837;73261
1730735757.222086743;11765;3134;3288;851;71139
1730735757.428430253;11765;3134;3288;851;71139
1730735757.634747199;11785;3364;3289;821;69183
1730735757.841070965;11785;3364;3289;821;69183
1730735758.047373189;11798;3340;3287;862;70494
1730735758.253722066;11798;3340;3287;862;70494
1730735758.459933938;11788;3389;3288;862;70927
1730735758.666151127;11788;3389;3288;862;71136
1730735758.872478908;11785;3305;3288;800;71136
1730735759.078845619;11785;3305;3288;800;69767
1730735759.285191970;11569;3332;3287;768;69767
1730735759.491579870;11872;3346;3286;770;68953
1730735759.697906132;11872;3346;3286;770;68953
1730735759.904205465;11791;3249;3287;792;72113
1730735760.110635943;11791;3249;3287;792;72113
1730735760.317760724;11392;3378;3285;824;69005
1730735760.524844382;11392;3378;3285;824;69005
1730735760.731842357;11372;3456;3289;805;69278
1730735760.938265144;11372;3456;3289;805;69278
1730735761.144835374;11794;3284;3286;813;70795
1730735761.351201943;11794;3284;3286;813;70795
1730735761.557499516;11872;3346;3288;805;69632
1730735761.763815607;11872;3346;3288;805;69632
1730735761.970097052;11775;3319;3288;856;70269
1730735762.176483106;11775;3319;3288;856;71193
1730735762.382620963;11778;3348;3289;867;71193
1730735762.589108582;11778;3348;3289;867;71726
1730735762.795371863;11717;3348;3286;778;71726
1730735763.001757720;11765;3276;3289;832;71070
1730735763.208145895;11765;3276;3289;832;71070
1730735763.414430625;11798;3211;3287;848;70249
1730735763.620999009;11798;3211;3287;848;70249
1730735763.827340382;11788;3351;3287;819;69216
