Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730374850.428594693;11885;2535;3288;832;47033
1730374850.635115234;11872;2435;3288;813;48295
1730374850.841398341;11872;2435;3288;813;48295
1730374851.047806840;11872;2435;3288;813;48295
1730374851.254197460;11849;2516;3286;776;46554
1730374851.460832648;11849;2516;3286;776;46554
1730374851.667105588;11849;2516;3286;776;46554
1730374851.873618847;11869;2561;3289;824;48066
1730374852.080023110;11869;2561;3289;824;48066
1730374852.286536998;11869;2561;3289;824;48066
1730374852.492969332;11846;2411;3285;786;46721
1730374852.699389364;11846;2411;3285;786;46721
1730374852.906020611;11846;2411;3285;786;46911
1730374853.112628284;11704;2360;3289;829;46911
1730374853.319236734;11704;2360;3289;829;46911
1730374853.525937412;11852;2422;3287;837;45564
1730374853.732722817;11852;2422;3287;837;45564
1730374853.939112078;11852;2422;3287;837;45564
1730374854.145541672;11856;2516;3287;773;47562
1730374854.351858868;11856;2516;3287;773;47562
1730374854.558195851;11856;2516;3287;773;47562
1730374854.764833720;11852;2513;3287;792;47892
1730374854.971148941;11852;2513;3287;792;47892
1730374855.177442810;11852;2513;3287;792;47952
1730374855.383732280;11852;2459;3289;835;47952
1730374855.590119329;11852;2459;3289;835;47952
1730374855.796711291;11885;2419;3288;816;46635
1730374856.003090142;11885;2419;3288;816;46635
1730374856.209571514;11885;2419;3288;816;46635
1730374856.415893871;11869;2510;3288;840;46927
1730374856.622134700;11869;2510;3288;840;46927
1730374856.828560704;11869;2510;3288;840;46927
1730374857.034787078;11875;2425;3287;843;48152
1730374857.241130878;11875;2425;3287;843;48152
1730374857.447578501;11875;2425;3287;843;48152
1730374857.653843233;11875;2438;3287;792;46788
1730374857.860231655;11875;2438;3287;792;46788
1730374858.066514297;11875;2438;3290;843;47172
1730374858.272757466;11875;2438;3290;843;47172
1730374858.478955747;11875;2438;3290;843;47172
1730374858.685337114;11859;2470;3289;851;45550
1730374858.891670732;11859;2470;3289;851;45550
1730374859.098133697;11859;2470;3289;851;45550
1730374859.304419684;11927;2441;3287;762;47085
1730374859.510690811;11927;2441;3287;762;47085
1730374859.717099050;11927;2441;3287;762;47085
1730374859.923431204;11856;2513;3290;824;47519
1730374860.130025105;11856;2513;3290;824;47519
1730374860.337131134;11856;2513;3290;824;48845
