Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730302662.684575406;11785;3461;3288;819;74983
1730302662.890959069;11759;3480;3287;811;74983
1730302663.097352028;11759;3480;3287;811;74983
1730302663.303615988;11730;3399;3287;797;74926
1730302663.510064411;11730;3399;3287;797;74926
1730302663.716288355;11730;3399;3287;797;74926
1730302663.922634776;11756;3547;3285;770;74654
1730302664.128927662;11756;3547;3285;770;74654
1730302664.335291372;11756;3547;3285;770;74654
1730302664.541734609;11778;3389;3287;792;75138
1730302664.748017067;11778;3389;3287;792;75138
1730302664.954435895;11778;3389;3287;792;74660
1730302665.160904768;11772;3501;3287;821;74660
1730302665.368110883;11772;3501;3287;821;74660
1730302665.575182764;11369;3364;3288;829;74783
1730302665.782265636;11369;3364;3288;829;74783
1730302665.989426817;11369;3364;3288;829;74783
1730302666.196640401;11363;3561;3285;851;70663
1730302666.403850541;11363;3561;3285;851;70663
1730302666.610834624;11363;3561;3285;851;70663
1730302666.817158589;11778;3493;3289;824;73926
1730302667.023500059;11778;3493;3289;824;73926
1730302667.229802572;11778;3493;3289;824;73926
1730302667.436113617;11778;3480;3287;840;75408
1730302667.642554807;11778;3480;3287;840;75408
1730302667.848806431;11782;3432;3287;778;73835
1730302668.055081176;11782;3432;3287;778;73835
1730302668.261418175;11782;3432;3287;778;73835
1730302668.467662488;11788;3472;3287;832;73715
1730302668.674007168;11788;3472;3287;832;73715
1730302668.880284776;11788;3472;3287;832;73715
1730302669.086736397;11798;3405;3289;835;75003
1730302669.292921363;11798;3405;3289;835;75003
1730302669.499165028;11798;3405;3289;835;75003
1730302669.705436222;11782;3397;3287;813;74519
1730302669.911786269;11782;3397;3287;813;74519
1730302670.118144911;11782;3397;3287;813;74178
1730302670.324406525;11788;3391;3287;843;74178
1730302670.530733684;11788;3391;3287;843;74178
1730302670.736917003;11772;3399;3288;843;74861
1730302670.943352924;11772;3399;3288;843;74861
1730302671.149736067;11772;3399;3288;843;74861
1730302671.356037118;11782;3415;3288;840;74494
1730302671.562454196;11782;3415;3288;840;74494
1730302671.768704612;11782;3415;3288;840;74494
1730302671.975137590;11769;3531;3287;832;74684
1730302672.181420647;11769;3531;3287;832;74684
1730302672.387639332;11769;3531;3287;832;75906
1730302672.594253249;11730;3316;3286;843;75906
1730302672.800626235;11730;3316;3286;843;75906
1730302673.006960153;11778;3493;3287;778;72807
1730302673.213369288;11778;3493;3287;778;72807
1730302673.419640930;11778;3493;3287;778;72807
1730302673.626109996;11885;3434;3287;835;77118
1730302673.832422544;11885;3434;3287;835;77118
1730302674.038727431;11885;3434;3287;835;77118
1730302674.245048668;11785;3335;3287;768;74604
1730302674.451443106;11785;3335;3287;768;74604
1730302674.657903751;11785;3335;3287;768;74604
1730302674.864165970;11759;3434;3287;821;73855
1730302675.070574910;11759;3434;3287;821;73855
1730302675.276813465;11759;3418;3286;776;74260
1730302675.483094930;11759;3418;3286;776;74260
1730302675.689456574;11759;3418;3286;776;74260
1730302675.895717808;11782;3448;3287;765;72653
1730302676.102047646;11782;3448;3287;765;72653
1730302676.308323850;11782;3448;3287;765;72653
1730302676.514774380;11869;3504;3287;811;73983
1730302676.721003580;11869;3504;3287;811;73983
1730302676.927292105;11869;3504;3287;811;73983
1730302677.133650663;11772;3265;3287;843;75744
1730302677.340027171;11772;3265;3287;843;75744
1730302677.546247080;11772;3265;3287;843;71905
1730302677.752636013;11749;3367;3289;808;71905
1730302677.958892463;11749;3367;3289;808;71905
1730302678.165299137;11769;3407;3286;832;71477
1730302678.371680258;11769;3407;3286;832;71477
1730302678.578034786;11769;3407;3286;832;71477
1730302678.784417007;11762;3410;3287;821;73677
1730302678.990833482;11762;3410;3287;821;73677
1730302679.197109257;11762;3410;3287;821;73677
1730302679.403562841;11775;3507;3288;819;74070
1730302679.609958653;11775;3507;3288;819;74070
1730302679.816227269;11775;3507;3288;819;75881
1730302680.022761447;11753;3515;3288;845;75881
1730302680.230013733;11753;3515;3288;845;75881
1730302680.437074982;11372;3531;3288;827;74253
1730302680.644127316;11372;3531;3288;827;74253
1730302680.851152079;11372;3531;3288;827;74253
1730302681.057479472;11798;3383;3287;760;73563
1730302681.263773768;11798;3383;3287;760;73563
1730302681.470183192;11798;3383;3287;760;73563
1730302681.676440208;11765;3488;3287;853;73807
1730302681.882877838;11765;3488;3287;853;73807
1730302682.089101262;11765;3488;3287;853;75506
1730302682.295372535;11643;3488;3288;800;75506
1730302682.501714807;11643;3488;3288;800;75506
1730302682.708194117;11785;3389;3288;754;74523
1730302682.914511870;11785;3389;3288;754;74523
1730302683.120864270;11785;3389;3288;754;74523
1730304929.461694045;11598;3483;3286;800;73028
