Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730737754.383538342;11862;2650;3290;853;54187
1730737754.589929181;11856;2733;3289;778;53798
1730737754.796234429;11856;2733;3289;778;53798
1730737755.002508639;11959;2736;3288;870;54676
1730737755.208889382;11959;2736;3288;870;54676
1730737755.415389738;11846;2666;3288;792;55779
1730737755.621702973;11846;2666;3288;792;55779
1730737755.828126895;11856;2720;3290;800;53085
1730737756.034496397;11856;2720;3290;800;53085
1730737756.241004819;11840;2739;3287;816;54818
1730737756.447462174;11840;2739;3287;816;54818
1730737756.653897311;11801;2647;3289;864;52885
1730737756.860240016;11801;2647;3289;864;52885
1730737757.066533034;11830;2766;3287;781;52976
1730737757.272915102;11830;2766;3287;781;53609
1730737757.479176583;11765;2626;3287;859;53609
1730737757.685622583;11765;2626;3287;859;53381
1730737757.891786748;11859;2749;3288;813;53381
1730737758.098102598;11872;2596;3287;835;55669
1730737758.304587205;11872;2596;3287;835;55669
1730737758.511070413;11852;2760;3289;802;53096
1730737758.717617291;11852;2760;3289;802;53096
1730737758.923964946;11962;2623;3288;853;53708
1730737759.130116041;11962;2623;3288;853;53708
1730737759.336761630;11846;2720;3287;813;52998
1730737759.543002580;11846;2720;3287;813;52998
1730737759.749312372;11849;2712;3287;784;53295
1730737759.955512811;11849;2712;3287;784;53295
1730737760.161822079;11859;2669;3289;824;53409
1730737760.368213888;11859;2669;3289;824;53409
1730737760.574466882;11753;2629;3290;851;52463
1730737760.780768120;11753;2629;3290;851;52463
1730737760.987133106;11862;2690;3287;789;53399
1730737761.193620424;11862;2690;3287;789;53153
1730737761.400036018;11836;2747;3287;778;53153
1730737761.607228202;11462;2790;3287;837;55341
1730737761.814292723;11462;2790;3287;837;55341
1730737762.021385503;11459;2634;3291;851;52798
1730737762.228465036;11459;2634;3291;851;52798
1730737762.435441567;11456;2795;3291;835;51286
1730737762.642452117;11456;2795;3291;835;51286
1730737762.849281780;11865;2634;3287;848;53198
1730737763.055612602;11865;2634;3287;848;53198
1730737763.261894496;11852;2741;3288;792;52989
1730737763.468143262;11852;2741;3288;792;52989
1730737763.674460824;11852;2696;3287;784;55303
1730737763.880771570;11852;2696;3287;784;55303
1730737764.086923832;11856;2771;3289;845;53443
1730737764.293336206;11856;2771;3289;845;55111
1730737764.499559809;11840;2717;3287;776;55111
1730737764.705936909;11840;2717;3287;776;54097
1730737764.912336256;11859;2701;3287;784;54097
1730737765.118638262;11862;2674;3289;848;53653
1730737765.324973167;11862;2674;3289;848;53653
1730737765.531171385;11856;2717;3289;832;52482
1730737765.737469990;11856;2717;3289;832;52482
1730737765.943823793;11865;2696;3287;827;54412
1730737766.150305724;11865;2696;3287;827;54412
1730737766.356664673;11859;2688;3287;784;52571
1730737766.562900797;11859;2688;3287;784;52571
1730737766.769250895;11811;2717;3287;862;54244
1730737766.975557440;11811;2717;3287;862;54244
1730737767.181940556;11852;2749;3287;867;53552
1730737767.388156383;11852;2749;3287;867;53552
1730737767.594490170;11840;2803;3288;770;53880
1730737767.800752968;11840;2803;3288;770;53880
1730737768.006994652;11840;2712;3287;765;54666
1730737768.213410482;11840;2712;3287;765;53093
1730737768.419717826;11791;2873;3288;845;53093
1730737768.626000681;11852;2709;3288;859;57025
1730737768.832211844;11852;2709;3288;859;57025
1730737769.038273239;11875;2645;3289;829;53957
1730737769.244566775;11875;2645;3289;829;53957
1730737769.450821882;11823;2921;3288;840;53794
1730737769.657313784;11823;2921;3288;840;53794
1730737769.863596565;11862;2741;3288;773;55671
1730737770.069935327;11862;2741;3288;773;55671
1730737770.276339498;11852;2728;3287;848;54154
1730737770.482559591;11852;2728;3287;848;54154
1730737770.688883794;11862;2690;3288;848;53673
1730737770.895162976;11862;2690;3288;848;53673
1730737771.101441985;11846;2674;3290;837;53680
1730737771.307750843;11846;2674;3290;837;53680
1730737771.514121541;11859;2613;3288;773;53394
1730737771.720315323;11859;2613;3288;773;53013
1730737771.926379156;11823;2784;3290;845;53013
1730737772.132702249;11807;2642;3287;816;54566
1730737772.338972904;11807;2642;3287;816;54566
1730737772.545384133;11852;2744;3288;789;51067
1730737772.751638663;11852;2744;3288;789;51067
1730737772.957908321;11872;2655;3289;843;54721
1730737773.164066786;11872;2655;3289;843;54721
1730737773.370286516;11852;2672;3288;829;52466
1730737773.576628431;11852;2672;3288;829;52466
1730737773.782948026;11856;2696;3287;837;54415
1730737773.989481706;11856;2696;3287;837;54415
1730737774.195870726;11846;2744;3288;805;54256
1730737774.402067435;11846;2744;3288;805;54256
1730737774.608492542;11846;2723;3286;784;54130
1730737774.814828701;11846;2723;3286;784;54130
