Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730734018.864327020;11814;3007;3287;784;62450
1730734019.070736601;11814;3007;3287;784;62450
1730734019.277163683;11804;3026;3287;867;63655
1730734019.483347070;11804;3026;3287;867;63655
1730734019.689629973;11798;3104;3290;845;62805
1730734019.895896099;11798;3104;3290;845;64564
1730734020.102421663;11807;2999;3287;773;64564
1730734020.309643641;11807;2999;3287;773;62505
1730734020.516786036;11417;3155;3287;853;62505
1730734020.723564791;11830;3010;3287;851;63695
1730734020.929741691;11830;3010;3287;851;63695
1730734021.136001873;11901;3147;3290;856;63905
1730734021.342236302;11901;3147;3290;856;63905
1730734021.548621400;11836;2978;3287;837;65399
1730734021.754833500;11836;2978;3287;837;65399
1730734021.961078130;11811;3048;3289;784;62094
1730734022.167357299;11811;3048;3289;784;62094
1730734022.373706548;11804;3091;3287;843;63052
1730734022.579900427;11804;3091;3287;843;63052
1730734022.786149383;11823;3031;3287;797;63846
1730734022.992512832;11823;3031;3287;797;63846
1730734023.198779533;11794;3066;3288;837;64021
1730734023.405055382;11794;3066;3288;837;65075
1730734023.611329431;11807;3037;3288;797;65075
1730734023.817454779;11807;3037;3288;797;62641
1730734024.023695077;11817;3074;3288;856;62641
1730734024.229960100;11798;3077;3289;867;64513
1730734024.436323009;11798;3077;3289;867;64513
1730734024.642752143;11814;3088;3287;862;64276
1730734024.849152992;11814;3088;3287;862;64276
1730734025.055405100;11807;3018;3287;784;63457
1730734025.261771123;11807;3018;3287;784;63457
1730734025.467912718;11804;3037;3288;805;63339
1730734025.674334177;11804;3037;3288;805;63339
1730734025.880643209;11804;3058;3286;781;64266
1730734026.087113718;11804;3058;3286;781;64266
1730734026.293551558;11782;3193;3287;862;63455
1730734026.499744431;11782;3193;3287;862;63455
1730734026.705964157;11798;3107;3288;859;64373
1730734026.912539896;11798;3107;3288;859;64373
1730734027.118818624;11814;3021;3287;784;64063
1730734027.325251074;11814;3021;3287;784;62715
1730734027.531562460;11798;3099;3290;859;62715
1730734027.737768367;11788;3040;3288;824;64172
1730734027.944081527;11788;3040;3288;824;64172
1730734028.150349246;11807;3056;3286;784;63783
1730734028.356695816;11807;3056;3286;784;63783
1730734028.563081574;11817;3040;3290;853;63537
1730734028.769373571;11817;3040;3290;853;63537
1730734028.975616604;11814;2970;3288;792;63035
1730734029.181836048;11814;2970;3288;792;63035
1730734029.388098452;11817;3042;3287;792;62631
1730734029.594215155;11817;3042;3287;792;62631
1730734029.800566183;11814;3125;3290;851;63444
1730734030.006839049;11814;3125;3290;851;63444
1730734030.213304370;11811;3061;3288;797;64309
1730734030.419667681;11811;3061;3288;797;64309
1730734030.626037588;11788;2921;3289;843;63910
1730734030.832297861;11788;2921;3289;843;62563
1730734031.038611275;11823;3080;3285;864;62563
1730734031.246421582;11775;3179;3287;784;64458
1730734031.452766227;11775;3179;3287;784;64458
1730734031.659111328;11817;3053;3288;829;65819
1730734031.865345735;11817;3053;3288;829;65819
1730734032.071540670;11807;3072;3287;811;62939
1730734032.277814327;11807;3072;3287;811;62939
1730734032.484091761;11798;3115;3287;781;62155
1730734032.690380680;11798;3115;3287;781;62155
1730734032.896682116;11775;3002;3287;832;64891
1730734033.102962008;11775;3002;3287;832;64891
1730734033.309315910;11817;3050;3287;778;63246
1730734033.515481618;11817;3050;3287;778;63246
1730734033.721670284;11743;2876;3289;837;63323
1730734033.927985716;11743;2876;3289;837;63323
1730734034.134247614;11798;3093;3289;802;62344
1730734034.340588339;11798;3093;3289;802;63140
1730734034.546827019;11649;3091;3288;829;63140
1730734034.753104541;11820;2991;3288;811;63862
1730734034.959453644;11820;2991;3288;811;63862
1730734035.165817712;11762;3048;3289;840;62519
1730734035.372169664;11762;3048;3289;840;62519
1730734035.578335302;11753;3077;3289;802;63445
1730734035.784527103;11753;3077;3289;802;63445
1730734035.990738663;11778;3107;3287;821;63897
1730734036.197075148;11778;3107;3287;821;63897
1730734036.403266921;11798;3048;3289;784;64818
1730734036.609528832;11798;3048;3289;784;64818
1730734036.815803791;11817;2983;3287;786;63390
1730734037.022153527;11817;2983;3287;786;63390
1730734037.228571036;11791;3080;3289;856;62268
1730734037.434802453;11791;3080;3289;856;62268
1730734037.641047041;11811;3139;3287;864;63225
1730734037.847133820;11811;3139;3287;864;64813
1730734038.053367415;11804;3005;3286;840;64813
1730734038.259568388;11804;3093;3286;870;62887
1730734038.465839981;11601;3093;3286;870;62887
1730734038.672133381;11791;3050;3289;797;62769
1730734038.878262856;11791;3050;3289;797;62769
1730734039.084556241;11788;3031;3290;862;63794
1730734039.290704163;11788;3031;3290;862;63794
