Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730738390.716456130;11891;2304;3287;853;42407
1730738390.922769472;11878;2322;3286;794;42765
1730738391.129126061;11878;2322;3286;794;42765
1730738391.335455644;11904;2347;3288;870;42911
1730738391.541834508;11904;2347;3288;870;42911
1730738391.748185144;11840;2288;3288;848;44003
1730738391.954432757;11840;2288;3288;848;44003
1730738392.160794375;11865;2357;3290;845;42447
1730738392.367213303;11865;2357;3290;845;42447
1730738392.573364614;11814;2271;3288;851;43131
1730738392.779624273;11814;2271;3288;851;41729
1730738392.985917774;11901;2301;3289;827;41729
1730738393.192240924;11846;2210;3288;797;41991
1730738393.398439412;11846;2210;3288;797;41991
1730738393.604663293;11888;2280;3287;797;41600
1730738393.810931002;11888;2280;3287;797;41600
1730738394.017393185;11894;2288;3290;829;42303
1730738394.223711853;11894;2288;3290;829;42303
1730738394.429984033;11898;2231;3288;792;41696
1730738394.636401390;11898;2231;3288;792;41696
1730738394.842676137;11830;2298;3285;802;41717
1730738395.049177908;11830;2298;3285;802;41717
1730738395.255606771;12004;2301;3287;862;42501
1730738395.461881038;12004;2301;3287;862;42501
1730738395.668123459;11827;2242;3289;821;44490
1730738395.874276374;11827;2242;3289;821;44490
1730738396.080621073;11888;2322;3289;853;41556
1730738396.286810155;11888;2322;3289;853;43312
1730738396.493137222;11833;2231;3288;802;43312
1730738396.699383439;11678;2210;3285;784;41863
1730738396.905641992;11678;2210;3285;784;41863
1730738397.111923347;11898;2322;3288;853;40678
1730738397.318131095;11898;2322;3288;853;40678
1730738397.524535151;11894;2285;3287;786;43235
1730738397.730695774;11894;2285;3287;786;43235
1730738397.936960186;11898;2285;3288;835;40751
1730738398.143184315;11898;2285;3288;835;40751
1730738398.349402668;11846;2253;3289;816;41834
1730738398.555701095;11846;2253;3289;816;41834
1730738398.761880846;11885;2419;3287;859;40982
1730738398.968030317;11885;2419;3287;859;40982
1730738399.174133298;11881;2282;3289;862;43870
1730738399.380485970;11881;2282;3289;862;43870
1730738399.586714151;11885;2320;3287;845;41845
1730738399.793000311;11885;2320;3287;845;43376
1730738399.999257941;11859;2355;3289;837;43376
1730738400.205667957;11859;2355;3288;794;43983
1730738400.412811792;11421;2360;3288;794;43983
1730738400.619800214;11514;2317;3287;832;41601
1730738400.826672848;11514;2317;3287;832;41601
1730738401.032891581;11888;2288;3285;840;42073
1730738401.239127894;11888;2288;3285;840;42073
1730738401.445380918;11878;2277;3287;856;42593
1730738401.651688997;11878;2277;3287;856;42593
1730738401.858048986;11881;2320;3287;837;42299
1730738402.064365000;11881;2320;3287;837;42299
1730738402.270650568;11782;2371;3288;853;42935
1730738402.476950974;11782;2371;3288;853;42935
1730738402.683172966;11881;2322;3287;802;43659
1730738402.889457751;11881;2322;3287;802;43659
1730738403.095797345;11898;2309;3286;778;43265
1730738403.302169734;11898;2309;3286;778;43089
1730738403.508524897;11894;2384;3287;778;43089
1730738403.714780342;11894;2384;3287;778;45073
1730738403.921083184;11688;2204;3287;800;45073
1730738404.127276379;11904;2242;3287;768;41279
1730738404.333576701;11904;2242;3287;768;41279
1730738404.539858341;11891;2349;3288;778;42316
1730738404.746228845;11891;2349;3288;778;42316
1730738404.952607668;11881;2322;3289;845;43222
1730738405.158769325;11881;2322;3289;845;43222
1730738405.365017378;11891;2341;3289;848;43430
1730738405.571226879;11891;2341;3289;848;43430
1730738405.777392114;12004;2344;3288;853;42479
1730738405.983772192;12004;2344;3288;853;42479
1730738406.190170031;11898;2306;3287;794;43910
1730738406.396447442;11898;2306;3287;794;43910
1730738406.602696140;11898;2325;3286;859;42161
1730738406.809055336;11898;2325;3286;859;44194
1730738407.015329814;11807;2280;3288;837;44194
1730738407.221669437;11807;2280;3288;837;41777
1730738407.428006259;11856;2411;3289;829;41777
1730738407.634287059;11875;2202;3290;848;43724
1730738407.840677973;11875;2202;3290;848;43724
1730738408.046875046;11881;2347;3288;867;41063
1730738408.253170460;11881;2347;3288;867;41063
1730738408.459395718;11872;2357;3287;792;43114
1730738408.665568048;11872;2357;3287;792;43114
1730738408.871758757;11891;2320;3287;776;43004
1730738409.078050583;11891;2320;3287;776;43004
1730738409.284486483;11978;2433;3288;797;42911
1730738409.490751536;11978;2433;3288;797;42911
1730738409.697093323;11904;2312;3287;778;44642
1730738409.903270904;11904;2312;3287;778;44642
1730738410.109479986;11885;2328;3287;794;43209
1730738410.315784946;11885;2328;3287;794;43109
1730738410.522015069;11901;2331;3288;802;43109
1730738410.728617788;11901;2331;3288;802;42585
1730738410.934897881;11904;2290;3287;786;42585
1730738411.141224391;11901;2355;3288;843;43315
