Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730736792.786904642;11859;2599;3288;829;51799
1730736792.993365852;11852;2664;3290;880;51245
1730736793.199739945;11852;2664;3290;880;51245
1730736793.405918622;11836;2709;3289;845;52865
1730736793.612214684;11836;2709;3289;845;53007
1730736793.818580500;11856;2594;3287;802;53007
1730736794.024988267;11856;2685;3288;848;51436
1730736794.231270782;11856;2685;3288;848;51436
1730736794.437513071;11849;2674;3287;864;52989
1730736794.643802838;11849;2674;3287;864;52989
1730736794.850019604;11852;2618;3286;800;53534
1730736795.056288208;11852;2618;3286;800;53534
1730736795.262657492;11865;2586;3288;821;52750
1730736795.469039616;11865;2586;3288;821;52750
1730736795.675352474;11852;2575;3289;797;52022
1730736795.881642881;11852;2575;3289;797;52022
1730736796.088104590;11840;2677;3288;856;51657
1730736796.294330998;11840;2677;3288;856;51657
1730736796.500602160;11843;2637;3287;776;53408
1730736796.706793935;11843;2637;3287;776;53408
1730736796.913040205;11849;2626;3287;808;51841
1730736797.119268494;11849;2626;3287;808;52911
1730736797.325636801;11869;2613;3289;794;52911
1730736797.532045189;11849;2672;3289;862;52508
1730736797.738182574;11849;2672;3289;862;52508
1730736797.944452624;11846;2701;3287;797;52546
1730736798.150721265;11846;2701;3287;797;52546
1730736798.357250386;11875;2653;3288;827;51601
1730736798.563452556;11875;2653;3288;827;51601
1730736798.769904538;11869;2599;3290;837;53349
1730736798.976244455;11869;2599;3290;837;53349
1730736799.182635583;11872;2650;3291;859;50498
1730736799.389004249;11872;2650;3291;859;50498
1730736799.595320120;11856;2647;3287;805;52488
1730736799.801661924;11856;2647;3287;805;52488
1730736800.007970232;11843;2604;3287;856;52076
1730736800.214146984;11843;2604;3287;856;52076
1730736800.420643762;11846;2650;3287;800;52270
1730736800.626989244;11846;2650;3287;800;51080
1730736800.833419469;11804;2666;3287;797;51080
1730736801.039679234;11698;2725;3287;827;51606
1730736801.245866219;11698;2725;3287;827;51606
1730736801.452351096;11459;2741;3288;819;53175
1730736801.659508854;11459;2741;3288;819;53175
1730736801.866517367;11462;2650;3287;805;52036
1730736802.073573885;11462;2650;3287;805;52036
1730736802.280641722;11469;2645;3289;843;52114
1730736802.487634994;11469;2645;3289;843;52114
1730736802.694478296;11459;2607;3287;837;51146
1730736802.900684715;11459;2607;3287;837;51146
1730736803.106935110;11840;2626;3287;781;50268
1730736803.313323468;11840;2626;3287;781;50268
1730736803.519644560;11856;2655;3287;840;52335
1730736803.725939254;11856;2655;3287;840;52335
1730736803.932180657;11852;2545;3288;843;52559
1730736804.138482250;11852;2545;3288;843;50823
1730736804.344841795;11872;2613;3289;862;50823
1730736804.551136334;11865;2623;3291;851;51127
1730736804.757513876;11865;2623;3291;851;51127
1730736804.963855919;11849;2639;3287;776;52429
1730736805.170232051;11849;2639;3287;776;52429
1730736805.376680944;11875;2578;3289;843;53131
1730736805.583035613;11875;2578;3289;843;53131
1730736805.789541577;11852;2615;3287;824;50928
1730736805.995974750;11852;2615;3287;824;50928
1730736806.202182604;11862;2650;3287;851;51455
1730736806.408576785;11862;2650;3287;851;51455
1730736806.614856554;11859;2725;3289;856;52689
1730736806.821149009;11859;2725;3289;856;52689
1730736807.027369146;11852;2661;3289;821;52947
1730736807.233742381;11852;2661;3289;821;52947
1730736807.440011025;11862;2588;3286;821;52984
1730736807.646182914;11862;2588;3286;821;51663
1730736807.852476491;11869;2613;3288;848;51663
1730736808.058685571;11869;2613;3290;848;53597
1730736808.265208876;11662;2575;3290;848;53597
1730736808.471514829;11852;2725;3288;856;49334
1730736808.677810766;11852;2725;3288;856;49334
1730736808.884090210;11840;2615;3287;789;52519
1730736809.090317285;11840;2615;3287;789;52519
1730736809.296739416;11875;2586;3288;821;52220
1730736809.503103438;11875;2586;3288;821;52220
1730736809.709459866;11859;2637;3289;840;51629
1730736809.915840613;11859;2637;3289;840;51629
1730736810.122223653;11869;2588;3287;781;50964
1730736810.328678339;11869;2588;3287;781;50964
1730736810.535087468;11769;2575;3289;770;52414
1730736810.741635983;11769;2575;3289;770;52414
1730736810.947881103;11849;2658;3287;862;49823
1730736811.154108744;11849;2658;3287;862;51126
1730736811.360601408;11859;2661;3288;837;51126
1730736811.566844139;11859;2661;3288;778;52581
1730736811.773354935;11688;2682;3289;778;52581
1730736811.979545174;11859;2548;3289;797;53021
1730736812.185833709;11859;2548;3289;797;53021
1730736812.392193305;11852;2664;3288;837;50048
1730736812.598422811;11852;2664;3288;837;50048
1730736812.804928544;11823;2658;3287;805;52677
1730736813.011238807;11823;2658;3287;805;52677
1730736813.217609628;11959;2696;3290;805;51166
