Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730305378.968082320;11885;2333;3285;821;43112
1730305379.174445777;11956;2395;3286;802;43112
1730305379.381003507;11956;2395;3286;802;43112
1730305379.587444727;11885;2320;3287;837;46046
1730305379.793891228;11885;2320;3287;837;46046
1730305380.000201034;11885;2320;3287;837;46046
1730305380.206737764;11475;2481;3289;853;43832
1730305380.414064965;11475;2481;3289;853;43832
1730305380.621255139;11475;2481;3289;853;43832
1730305380.828345663;11591;2363;3287;813;43953
1730305381.034773780;11591;2363;3287;813;43953
1730305381.241190895;11591;2363;3287;813;43018
1730305381.447504075;11891;2314;3288;811;43018
1730305381.653907728;11891;2314;3288;811;43018
1730305381.860190254;11885;2446;3287;789;43234
1730305382.066558595;11885;2446;3287;789;43234
1730305382.272933444;11885;2446;3287;789;43234
1730305382.479251242;11907;2368;3287;786;45039
1730305382.685527843;11907;2368;3287;786;45039
1730305382.891860488;11907;2368;3287;786;45039
1730305383.098286085;11878;2400;3286;845;43865
1730305383.304646200;11878;2400;3286;845;43865
1730305383.511043145;11878;2400;3286;845;43865
1730305383.717349961;11885;2333;3289;816;44322
1730305383.924334531;11885;2333;3289;816;44322
1730305384.130821299;11881;2344;3287;797;44208
1730305384.337137567;11881;2344;3287;797;44208
1730305384.543574580;11881;2344;3287;797;44208
1730305384.749964019;11772;2408;3287;827;44591
1730305384.956226850;11772;2408;3287;827;44591
1730305385.162554787;11772;2408;3287;827;44591
1730305385.368981270;11885;2360;3287;829;44792
1730305385.575326910;11885;2360;3287;829;44792
1730305385.781695991;11885;2360;3287;829;44792
1730305385.987892011;11872;2382;3285;832;43138
1730305386.194155286;11872;2382;3285;832;43138
1730305386.400653798;11872;2382;3285;832;44421
1730305386.607057271;11827;2245;3288;832;44421
1730305386.813382999;11827;2245;3288;832;44421
1730305387.019705857;11888;2352;3286;851;41743
1730305387.226239862;11888;2352;3286;851;41743
1730305387.432560635;11888;2352;3286;851;41743
1730305387.639145055;11881;2320;3285;832;43934
1730305387.845539616;11881;2320;3285;832;43934
1730305388.052017997;11881;2320;3285;832;43934
1730305388.258326523;11891;2365;3287;765;43281
1730305388.464649387;11891;2365;3287;765;43281
1730305388.671183488;11891;2365;3287;765;44121
1730305388.877510198;11888;2360;3291;843;44121
1730305389.083980936;11888;2360;3291;843;44121
1730305389.290374500;11898;2374;3287;824;42856
1730305389.496807193;11898;2374;3287;824;42856
1730305389.703196748;11898;2374;3287;824;42856
1730305389.909496741;11888;2322;3287;800;43747
1730305390.115816162;11888;2322;3287;800;43747
1730305390.322375685;11888;2322;3287;800;43747
1730305390.528757261;11878;2253;3287;840;43663
1730305390.735160971;11878;2253;3287;840;43663
1730305390.941523856;11878;2253;3287;840;43663
1730305391.147834730;11885;2422;3286;781;42974
1730305391.354111189;11885;2422;3286;781;42974
1730305391.560519575;11881;2331;3287;773;45156
1730305391.766985226;11881;2331;3287;773;45156
1730305391.973355088;11881;2331;3287;773;45156
1730305392.179661638;11878;2347;3287;792;43109
1730305392.386144804;11878;2347;3287;792;43109
1730305392.592523560;11878;2347;3287;792;43109
1730305392.798860547;11881;2395;3287;792;44274
1730305393.005217280;11881;2395;3287;792;44274
1730305393.211577314;11881;2395;3287;792;44274
1730305393.417959020;11833;2419;3284;802;43653
1730305393.624351760;11833;2419;3284;802;43653
1730305393.830747310;11833;2419;3284;802;44206
1730305394.037081394;11881;2379;3286;773;44206
1730305394.243456445;11881;2379;3286;773;44206
1730305394.449801059;11881;2392;3286;813;44416
1730305394.656269465;11881;2392;3286;813;44416
1730305394.862717362;11881;2392;3286;813;44416
1730305395.069045081;11875;2261;3286;821;44590
1730305395.275453353;11875;2261;3286;821;44590
1730305395.481785750;11875;2261;3286;821;44590
1730305395.688073178;11785;2441;3287;808;42520
1730305395.894414612;11785;2441;3287;808;42520
1730305396.100696571;11785;2441;3287;808;45332
1730305396.307159314;11888;2339;3286;819;45332
1730305396.513494897;11888;2339;3286;819;45332
1730305396.719668281;11888;2261;3289;843;43195
1730305396.926137563;11888;2261;3289;843;43195
1730305397.132653414;11888;2261;3289;843;43195
1730305397.339044027;11888;2336;3286;829;42686
1730305397.545342686;11888;2336;3286;829;42686
1730305397.751756685;11888;2336;3286;829;42686
1730305397.958326300;11869;2406;3285;770;43434
1730305398.164884327;11869;2406;3285;770;43434
1730305398.371345386;11869;2406;3285;770;43434
1730305398.577719060;11875;2398;3284;757;43733
1730305398.784053383;11875;2398;3284;757;43733
1730305398.990358420;11891;2266;3287;805;44103
1730305399.196608337;11891;2266;3287;805;44103
1730305399.402901752;11891;2266;3287;805;44103
1730370790.375721044;11872;2365;3284;816;43450
1730370790.585605535;11872;2365;3284;816;43450
1730370790.792005664;11875;2355;3288;848;43074
1730370790.998316293;11875;2355;3288;848;43074
1730370791.204740664;11885;2339;3286;832;43180
1730370791.411152376;11885;2339;3286;832;43180
1730370791.617509954;11872;2296;3286;808;43275
1730370791.823860572;11872;2296;3286;808;43275
1730370792.030213917;11852;2298;3288;832;42250
1730370792.236641821;11852;2298;3288;832;42250
1730370792.443134287;11814;2387;3287;851;42387
1730370792.649456034;11814;2387;3287;851;42387
1730370792.855801380;11891;2261;3287;784;44124
1730370793.062089860;11891;2261;3287;784;42293
1730370793.268646244;11762;2379;3287;757;42293
1730370793.474949182;11762;2379;3287;757;42848
1730370793.681240848;11865;2304;3288;819;42848
1730370793.887483915;11888;2250;3287;816;43194
1730370794.093840455;11888;2250;3287;816;43194
1730370794.300304334;11988;2285;3289;837;41951
1730370794.506761304;11988;2285;3289;837;41951
1730370794.713066118;11872;2322;3287;859;44014
1730370794.919400910;11872;2322;3287;859;44014
1730370795.125714168;11872;2365;3287;853;43299
1730370795.332027655;11872;2365;3287;853;43299
1730370795.538315846;11885;2355;3287;853;45165
1730370795.744626508;11885;2355;3287;853;45165
1730370795.950957397;11894;2301;3288;832;43262
1730370796.157446235;11894;2301;3288;832;43262
1730370796.363775826;11865;2374;3287;770;43340
1730370796.570090287;11865;2374;3287;770;43461
1730370796.776521353;11843;2336;3288;848;43461
1730370796.982746901;11843;2336;3288;848;42957
1730370797.189150738;11875;2331;3285;770;42957
1730370797.395655480;11865;2274;3288;859;43024
1730370797.601974637;11865;2274;3288;859;43024
1730370797.808488438;11891;2328;3287;786;41725
1730370798.014960236;11891;2328;3287;786;41725
1730370798.221379324;11885;2274;3286;851;42922
1730370798.427789513;11885;2274;3286;851;42922
1730370798.634176283;11869;2349;3285;805;43738
1730370798.840585893;11869;2349;3285;805;43738
1730370799.047227813;11627;2446;3289;862;42400
1730370799.253993380;11627;2446;3289;862;42400
1730370799.460770859;11981;2363;3288;867;45073
1730370799.667599780;11981;2363;3288;867;45073
1730370799.874280702;11666;2298;3288;837;45089
1730370800.081067169;11666;2298;3288;837;42895
1730370800.287722931;11898;2266;3287;851;42895
1730370800.494435856;11898;2266;3287;851;43028
1730370800.701022048;11672;2443;3289;821;43028
1730370800.907639269;11807;2277;3286;765;44154
1730370801.114174935;11807;2277;3286;765;44154
1730370801.320539358;11878;2349;3285;819;41639
1730370801.526977580;11878;2349;3285;819;41639
1730370801.733353148;11885;2288;3286;800;42861
1730370801.939702556;11885;2288;3286;800;42861
1730370802.146187567;11901;2341;3287;859;42305
1730370802.352471819;11901;2341;3287;859;42305
1730370802.558726467;11875;2376;3284;827;43256
1730370802.765279056;11875;2376;3284;827;43256
1730370802.972446206;11482;2368;3284;794;42725
1730370803.179528535;11482;2368;3284;794;42725
1730370803.386688644;11446;2250;3287;784;40965
1730370803.593955448;11446;2250;3287;784;40708
1730370803.801321056;11466;2411;3288;816;40708
1730370804.008393208;11466;2406;3287;845;42204
1730370804.214699520;11682;2406;3287;845;42204
1730370804.421166892;11720;2234;3285;792;43078
1730370804.628013622;11720;2234;3285;792;43078
1730370804.834342007;11888;2336;3284;802;41301
1730370805.040788965;11888;2336;3284;802;41301
1730370805.247451335;11978;2288;3286;784;43296
1730370805.454014909;11978;2288;3286;784;43296
1730370805.660622654;11881;2344;3287;781;42583
1730370805.867122102;11881;2344;3287;781;42583
1730370806.073713019;11901;2304;3287;837;43233
1730370806.280199644;11901;2304;3287;837;43233
1730370806.486717354;11840;2578;3288;845;42658
1730370806.693375527;11840;2578;3288;845;42658
1730370806.899966369;11888;2328;3287;816;46416
1730370807.106430694;11888;2328;3287;816;43185
1730370807.312788138;11888;2274;3286;773;43185
1730370807.519181318;11814;2314;3289;867;42595
1730370807.725596564;11814;2314;3289;867;42595
1730370807.932190342;11881;2344;3287;824;42229
1730370808.138603306;11881;2344;3287;824;42229
1730370808.345179097;11695;2384;3288;829;43466
1730370808.551718259;11695;2384;3288;829;43466
1730370808.758198038;11888;2344;3288;789;42988
1730370808.964650607;11888;2344;3288;789;42988
1730370809.171341585;11878;2344;3287;821;42875
1730370809.378200462;11878;2344;3287;821;42875
1730370809.584789241;12023;2320;3286;762;43219
1730370809.791368112;12023;2320;3286;762;43219
1730370809.997833165;11772;2341;3286;853;43180
1730370810.204377355;11772;2341;3286;853;43180
1730370810.410595633;11856;2363;3284;837;42486
1730370810.617227128;11856;2363;3284;837;44030
1730370810.823914959;11820;2151;3287;778;44030
