Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730732609.241601235;11785;3158;3285;832;68552
1730732609.448046468;11785;3158;3285;832;68552
1730732609.654330627;11749;3246;3287;805;67824
1730732609.860641646;11749;3246;3287;805;67824
1730732610.066934519;11798;3252;3288;848;68222
1730732610.273301176;11798;3252;3288;848;68567
1730732610.479532249;11788;3305;3287;802;68567
1730732610.685977693;11788;3305;3287;802;70338
1730732610.892119701;11782;3284;3289;851;70338
1730732611.098387438;11791;3166;3288;773;70454
1730732611.304752553;11791;3166;3288;773;70454
1730732611.511109525;11801;3276;3288;786;69346
1730732611.717533879;11801;3276;3288;786;69346
1730732611.923781477;11804;3187;3289;827;69869
1730732612.129984230;11804;3187;3289;827;69869
1730732612.336355063;11791;3270;3289;792;69263
1730732612.542648220;11791;3270;3289;792;69263
1730732612.748981289;11794;3356;3289;805;68742
1730732612.955165279;11794;3356;3289;805;68742
1730732613.161752095;11794;3265;3286;856;69428
1730732613.368217546;11794;3265;3286;856;69428
1730732613.574477960;11888;3324;3288;867;70063
1730732613.780918368;11888;3324;3288;867;70215
1730732613.987135236;11798;3211;3289;824;70215
1730732614.193316053;11798;3211;3289;824;69109
1730732614.399728997;11746;3203;3286;760;69109
1730732614.605969005;11804;3236;3288;835;69058
1730732614.812281836;11804;3236;3288;835;69058
1730732615.018507079;11759;3233;3289;808;70134
1730732615.224872889;11759;3233;3289;808;70134
1730732615.431271795;11785;3246;3288;805;68878
1730732615.637629136;11785;3246;3288;805;68878
1730732615.843879065;11791;3332;3288;851;69356
1730732616.050110400;11791;3332;3288;851;69356
1730732616.256562470;11791;3182;3290;848;69033
1730732616.462781564;11791;3182;3290;848;69033
1730732616.669105094;11788;3246;3288;827;69507
1730732616.875324892;11788;3246;3288;827;69507
1730732617.081587114;11769;3230;3287;781;68640
1730732617.287740263;11769;3230;3287;781;68640
1730732617.494105324;11782;3244;3289;819;68454
1730732617.700368329;11782;3244;3289;819;69362
1730732617.906529494;11778;3252;3287;773;69362
1730732618.112851813;11898;3297;3286;778;69242
1730732618.319182355;11898;3297;3286;778;69242
1730732618.525541282;11785;3244;3286;819;71333
1730732618.731773167;11785;3244;3286;819;71333
1730732618.938179532;11791;3195;3288;843;69522
1730732619.144448759;11791;3195;3288;843;69522
1730732619.350677316;11778;3182;3287;819;68626
1730732619.556983415;11778;3182;3287;819;68626
1730732619.763269200;11782;3295;3287;824;68241
1730732619.969701821;11782;3295;3287;824;68241
1730732620.175999170;11785;3236;3287;808;69245
1730732620.382338553;11785;3236;3287;808;69245
1730732620.588748747;11765;3297;3287;840;70287
1730732620.795156453;11765;3297;3287;840;70287
1730732621.001528061;11778;3287;3286;802;70333
1730732621.207841871;11778;3287;3286;802;69308
1730732621.414203447;11785;3142;3288;848;69308
1730732621.620615015;11782;3249;3286;811;68393
1730732621.826838679;11782;3249;3286;811;68393
1730732622.033108368;11775;3348;3287;811;69431
1730732622.239337617;11775;3348;3287;811;69431
1730732622.445458948;11765;3316;3287;786;70552
1730732622.651705378;11765;3316;3287;786;70552
1730732622.857992860;11794;3319;3287;859;68509
1730732623.064419818;11794;3319;3287;859;68509
1730732623.270716135;11782;3230;3288;832;71728
1730732623.477142711;11782;3230;3288;832;71728
1730732623.683471049;11778;3158;3287;781;68460
1730732623.889926270;11778;3158;3287;781;68460
1730732624.096358162;11753;3402;3288;797;68148
1730732624.302766851;11753;3402;3288;797;68148
1730732624.509082810;11811;3206;3287;794;71190
