Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730306889.889809670;11814;3182;3287;792;68359
1730306890.096536220;11811;3222;3286;805;68359
1730306890.303023145;11804;3244;3288;859;68564
1730306890.509440846;11804;3244;3288;859;68564
1730306890.715811666;11801;3246;3287;781;70613
1730306890.922316225;11801;3246;3287;781;70613
1730306891.128740002;11807;3225;3287;845;68862
1730306891.335197677;11807;3225;3287;845;68862
1730306891.541535076;11788;3257;3287;821;69380
1730306891.747941363;11788;3257;3287;821;69380
1730306891.954229406;11798;3142;3284;829;69501
1730306892.160880503;11798;3142;3284;829;69501
1730306892.367217548;11740;3219;3288;805;67644
1730306892.573647961;11740;3219;3288;805;67644
1730306892.779836350;11798;3185;3287;797;68847
1730306892.986184083;11798;3185;3287;797;67940
1730306893.192679490;11691;3335;3286;832;67940
1730306893.399007319;11691;3335;3286;832;69155
1730306893.605325222;11788;3241;3287;859;69155
1730306893.811606933;11814;3193;3289;816;69668
1730306894.017990140;11814;3193;3289;816;69668
1730306894.224450673;11798;3158;3287;773;68020
1730306894.430702692;11798;3158;3287;773;68020
1730306894.637057807;11885;3292;3287;856;66971
1730306894.843424480;11885;3292;3287;856;66971
1730306895.049923739;11794;3171;3287;827;70431
1730306895.256181339;11794;3171;3287;827;70431
1730306895.462378235;11814;3176;3289;829;67792
1730306895.668714260;11814;3176;3289;829;67792
1730306895.875062381;11791;3287;3287;776;68664
1730306896.081268579;11791;3287;3287;776;68664
1730306896.287570758;11804;3257;3288;845;68952
1730306896.493912035;11804;3257;3288;845;69435
1730306896.700075267;11785;3228;3287;821;69435
1730306896.906420891;11785;3228;3287;821;69031
1730306897.112888327;11807;3171;3288;837;69031
1730306897.319347139;11817;3217;3287;843;68443
1730306897.525792215;11817;3217;3287;843;68443
1730306897.732199258;11801;3335;3288;805;68998
1730306897.938523816;11801;3335;3288;805;68998
1730306898.144957617;11898;3273;3287;797;70042
1730306898.351422299;11898;3273;3287;797;70042
1730306898.557656035;11675;3292;3286;776;69774
1730306898.763969897;11675;3292;3286;776;69774
1730306898.970424276;11794;3260;3287;837;68278
1730306899.176811193;11794;3260;3287;837;68278
1730306899.383263597;11791;3244;3287;789;69616
1730306899.589733372;11791;3244;3287;789;69616
1730306899.796183546;11814;3287;3287;816;69290
1730306900.002681003;11814;3287;3287;816;70745
1730306900.208992623;11791;3300;3286;781;70745
1730306900.415310196;11791;3300;3286;781;69935
1730306900.621896936;11798;3176;3288;848;69935
1730306900.828353871;11807;3260;3286;824;68468
1730306901.034847834;11807;3260;3286;824;68468
1730306901.241226819;11811;3193;3286;848;69204
1730306901.447665629;11811;3193;3286;848;69204
1730306901.654146494;11817;3279;3287;778;68601
1730306901.860499332;11817;3279;3287;778;68601
1730306902.066997701;11794;3228;3287;770;69422
1730306902.273588313;11794;3228;3287;770;69422
1730306902.479973394;11807;3338;3288;845;68240
1730306902.686470585;11807;3338;3288;845;68240
1730306902.892984879;11430;3260;3287;840;68576
1730306903.100310225;11430;3260;3287;840;68576
1730306903.307502394;11414;3209;3287;794;67286
1730306903.514714875;11414;3209;3287;794;68592
1730306903.722031782;11382;3391;3288;845;68592
1730306903.929250231;11382;3391;3288;845;69014
1730306904.136344144;11404;3367;3290;829;69014
1730306904.342914443;11833;3254;3288;829;69264
1730306904.549280845;11833;3254;3288;829;69264
1730306904.755642735;11814;3233;3286;829;69030
1730306904.961949942;11814;3233;3286;829;69030
1730306905.168346340;11817;3195;3287;824;68462
1730306905.374984983;11817;3195;3287;824;68462
1730306905.581332282;11814;3257;3288;824;67092
1730306905.787605291;11814;3257;3288;824;67092
1730306905.994234196;11814;3203;3288;840;69186
1730306906.200685077;11814;3203;3288;840;69186
1730306906.407181475;11791;3182;3287;827;69281
1730306906.613524154;11791;3182;3287;827;69281
1730306906.819996420;11775;3136;3286;824;68824
1730306907.026449551;11775;3136;3286;824;67630
1730306907.233002663;11791;3249;3287;837;67630
1730306907.439413583;11791;3249;3287;837;68795
1730306907.645872215;11791;3147;3288;778;68795
1730306907.852372744;11794;3260;3286;862;67654
1730306908.058800455;11794;3260;3286;862;67654
1730306908.265143432;11785;3316;3286;792;69681
1730306908.471506596;11785;3316;3286;792;69681
1730306908.678069269;11807;3236;3287;813;69534
1730306908.884481516;11807;3236;3287;813;69534
1730306909.091037784;11801;3279;3286;824;69677
1730306909.297431428;11801;3279;3286;824;69677
1730306909.503636662;11898;3254;3289;848;69352
1730306909.710041838;11898;3254;3289;848;69352
1730306909.916613229;11798;3179;3287;827;69660
1730306910.123133570;11798;3179;3287;827;69660
1730306910.329493872;11811;3230;3286;797;69006
1730369542.497535263;11791;3112;3287;784;66261
1730369542.703985370;11801;3056;3287;811;65290
1730369542.910283265;11801;3056;3287;811;65290
1730369543.116549843;11788;3085;3287;851;65104
1730369543.322979825;11788;3085;3287;851;65104
1730369543.530244880;11401;3211;3288;786;65108
1730369543.737358376;11401;3211;3288;786;65108
1730369543.944473231;11382;3289;3286;835;63951
1730369544.151538779;11382;3289;3286;835;63951
1730369544.358627440;11392;3134;3287;802;65230
1730369544.565712521;11392;3134;3287;802;61516
