Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730740645.336945647;11852;2717;3288;770;52056
1730740645.543235983;11852;2664;3288;856;53275
1730740645.749557266;11852;2664;3288;856;53275
1730740645.955738840;11840;2709;3287;867;52480
1730740646.162038007;11840;2709;3287;867;52480
1730740646.368393042;11856;2653;3288;802;53085
1730740646.574792433;11856;2653;3288;802;53085
1730740646.781054733;11852;2567;3287;840;52517
1730740646.987361578;11852;2567;3287;840;52517
1730740647.193818419;11856;2666;3287;845;51045
1730740647.400291244;11856;2666;3287;845;51045
1730740647.606419781;11843;2594;3289;862;52563
1730740647.812713806;11843;2594;3289;862;52563
1730740648.019026710;11862;2580;3287;829;50532
1730740648.225390618;11862;2580;3287;829;50532
1730740648.431575798;11846;2677;3286;776;52269
1730740648.637770707;11846;2677;3286;776;52706
1730740648.844008742;11862;2639;3287;778;52706
1730740649.050220447;11862;2672;3288;864;51764
1730740649.256431386;11659;2672;3288;864;51764
1730740649.462707849;11843;2666;3288;770;52117
1730740649.669019695;11843;2666;3288;770;52117
1730740649.875453443;11840;2669;3285;805;51755
1730740650.082058310;11840;2669;3285;805;51755
1730740650.288367181;11852;2637;3288;856;51639
1730740650.494659244;11852;2637;3288;856;51639
1730740650.700905658;11869;2567;3287;797;52212
1730740650.907292690;11869;2567;3287;797;52212
1730740651.113750969;11840;2768;3287;802;50781
1730740651.320135715;11840;2768;3287;802;50781
1730740651.526340182;11856;2666;3289;800;53543
1730740651.732576866;11856;2666;3289;800;53543
1730740651.939034955;11852;2655;3290;856;53102
1730740652.145522259;11852;2655;3290;856;52571
1730740652.351816567;11859;2655;3289;862;52571
1730740652.557997552;11859;2655;3287;792;52053
1730740652.764328734;11656;2529;3287;792;52053
1730740652.970567103;11962;2623;3287;851;50978
1730740653.177104199;11962;2623;3287;851;50978
1730740653.383607974;11872;2653;3289;813;51431
1730740653.590000092;11872;2653;3289;813;51431
1730740653.796403863;11724;2586;3288;845;52753
1730740654.002727670;11724;2586;3288;845;52753
1730740654.209169100;11856;2693;3290;824;51403
1730740654.415445695;11856;2693;3290;824;51403
1730740654.621668177;11849;2717;3288;781;52142
1730740654.827886224;11849;2717;3288;781;52142
1730740655.034440120;11678;2688;3288;802;52935
1730740655.241286329;11678;2688;3288;802;52935
1730740655.448111649;11988;2604;3287;786;49138
1730740655.654569367;11988;2604;3287;786;51608
1730740655.860961289;11878;2583;3287;832;51608
1730740656.067204152;11878;2583;3287;802;51817
1730740656.273455977;11646;2672;3287;802;51817
1730740656.479722337;11856;2693;3287;845;51710
1730740656.686086731;11856;2693;3287;845;51710
1730740656.892364047;11856;2629;3288;848;51963
1730740657.098550819;11856;2629;3288;848;51963
1730740657.304962147;11817;2666;3287;800;52656
1730740657.511275867;11817;2666;3287;800;52656
1730740657.717535377;11878;2567;3288;837;52037
1730740657.923832826;11878;2567;3288;837;52037
1730740658.130079655;11923;2682;3288;816;50813
1730740658.336528293;11923;2682;3288;816;50813
1730740658.542806849;11856;2623;3287;816;52032
1730740658.749118895;11856;2623;3287;816;52032
1730740658.955376271;11869;2494;3287;835;52616
1730740659.161609477;11869;2494;3287;835;51112
1730740659.367849462;11856;2629;3289;851;51112
1730740659.574249468;11856;2629;3289;851;51694
1730740659.780625557;11862;2607;3287;851;51694
1730740659.986989011;11817;2561;3288;848;51925
1730740660.193158136;11817;2561;3288;848;51925
1730740660.399424640;11820;2682;3286;870;51106
1730740660.605798745;11820;2682;3286;870;51106
1730740660.812163497;11846;2647;3287;862;52666
1730740661.018456239;11846;2647;3287;862;52666
1730740661.224808905;11875;2594;3286;786;52648
1730740661.431085971;11875;2594;3286;786;52648
1730740661.637459326;11872;2618;3287;794;51774
1730740661.843874536;11872;2618;3287;794;51774
1730740662.050052946;11875;2639;3290;832;51859
1730740662.256451041;11875;2639;3290;832;51859
1730740662.462913212;11843;2661;3287;816;52443
1730740662.669340733;11843;2661;3287;816;51814
1730740662.875623974;11849;2594;3289;851;51814
1730740663.081783613;11849;2594;3289;851;51691
1730740663.288070526;11962;2607;3287;835;51691
1730740663.494343710;11859;2596;3286;797;51700
1730740663.700751088;11859;2596;3286;797;51700
1730740663.906923195;11852;2688;3287;827;51174
1730740664.113181786;11852;2688;3287;827;51174
1730740664.319459986;11859;2674;3288;862;53982
1730740664.525732821;11859;2674;3288;862;53982
1730740664.731959035;11865;2637;3288;794;53221
1730740664.938309692;11865;2637;3288;794;53221
1730740665.145423173;11479;2666;3289;784;51525
1730740665.352661202;11479;2666;3289;784;51525
1730740665.559788370;11469;2731;3287;853;51571
1730740665.766876238;11469;2731;3287;853;51571
