Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730734433.202622911;11817;2937;3288;851;63702
1730734433.409186245;11817;2937;3288;851;63702
1730734433.615531067;11794;3066;3288;856;62284
1730734433.822006191;11794;3066;3288;856;62284
1730734434.028274639;11788;3021;3289;813;62341
1730734434.234418005;11788;3021;3289;813;62341
1730734434.440704487;11817;3061;3288;835;62806
1730734434.647016924;11817;3061;3288;835;62806
1730734434.853375330;11714;3042;3288;827;62716
1730734435.059621128;11714;3042;3288;827;60730
1730734435.266022610;11814;2921;3287;797;60730
1730734435.472410210;11817;3091;3290;832;62425
1730734435.678870365;11817;3091;3290;832;62425
1730734435.885195199;11865;3163;3287;781;65100
1730734436.091346306;11865;3163;3287;781;65100
1730734436.297652943;11807;2991;3290;835;65790
1730734436.503922531;11807;2991;3290;835;65790
1730734436.710070150;11804;3093;3289;859;62157
1730734436.916281958;11804;3093;3289;859;62157
1730734437.122474297;11804;2980;3287;819;64479
1730734437.328894245;11804;2980;3287;819;64479
1730734437.535198149;11562;2991;3288;776;61992
1730734437.741638645;11562;2991;3288;776;61992
1730734437.947929047;11801;2997;3287;843;60328
1730734438.154337507;11801;2997;3287;843;60328
1730734438.360690770;11801;3074;3289;835;62943
1730734438.566993811;11801;3074;3289;835;63638
1730734438.773387002;11807;3015;3288;851;63638
1730734438.979823136;11801;3023;3288;784;61915
1730734439.185989392;11801;3023;3288;784;61915
1730734439.392282542;11807;3048;3288;859;63368
1730734439.598582136;11807;3048;3288;859;63368
1730734439.804947186;11798;3061;3285;816;62827
1730734440.011253612;11798;3061;3285;816;62827
1730734440.217746722;11398;3050;3289;862;62924
1730734440.424858506;11398;3050;3289;862;62924
1730734440.631937242;11353;3131;3287;853;60853
1730734440.838824749;11353;3131;3287;853;60853
1730734441.045021934;11833;2956;3291;816;62107
1730734441.251243021;11833;2956;3291;816;62107
1730734441.457524261;11804;2843;3287;797;62752
1730734441.663758879;11804;2843;3287;797;62752
1730734441.869966761;11817;2978;3287;797;60169
1730734442.076285976;11817;2978;3287;797;60731
1730734442.282579687;11730;2972;3287;789;60731
1730734442.488825891;11823;3037;3289;832;62550
1730734442.694997116;11823;3037;3289;832;62550
1730734442.901244225;11798;3074;3287;789;63395
1730734443.107509821;11798;3074;3287;789;63395
1730734443.313874890;11811;2967;3287;792;62828
1730734443.520188574;11811;2967;3287;792;62828
1730734443.726485016;11817;2937;3285;824;61729
1730734443.932711173;11817;2937;3285;824;61729
1730734444.139049722;11807;3023;3285;837;61847
1730734444.345696076;11807;3023;3285;837;61847
1730734444.551982080;11814;3066;3288;827;63974
1730734444.758166211;11814;3066;3288;827;63974
1730734444.964607535;11804;3093;3289;781;64104
1730734445.171023515;11804;3093;3289;781;64104
1730734445.377435562;11543;3203;3289;859;62129
1730734445.583693796;11543;3203;3289;859;64102
1730734445.789967624;11791;3082;3288;792;64102
1730734445.996257698;11804;3042;3287;784;63865
1730734446.202468165;11804;3042;3287;784;63865
1730734446.408715606;11788;3018;3289;824;62750
1730734446.615167537;11788;3018;3289;824;62750
1730734446.821485405;11823;3021;3289;819;62144
1730734447.027729341;11823;3021;3289;819;62144
1730734447.233982760;11811;3015;3287;829;63936
1730734447.440472674;11811;3015;3287;829;63936
1730734447.646731663;11804;3069;3290;845;61514
1730734447.853104318;11804;3069;3290;845;61514
1730734448.059265893;11785;3096;3287;859;63811
1730734448.265474034;11785;3096;3287;859;63811
1730734448.471766016;11814;2975;3289;835;63610
1730734448.678105781;11814;2975;3289;835;63610
1730734448.884498479;11801;2881;3286;867;61524
1730734449.090736610;11801;2881;3286;867;60747
1730734449.296889399;11804;3058;3287;851;60747
1730734449.503237146;11801;3048;3287;813;63617
1730734449.709588158;11801;3048;3287;813;63617
1730734449.915872340;11817;3069;3287;819;62723
1730734450.121979187;11817;3069;3287;819;62723
1730734450.328315582;11811;3002;3287;800;63467
1730734450.534449877;11811;3002;3287;800;63467
1730734450.740840781;11827;3015;3285;786;61737
1730734450.947086379;11827;3015;3285;786;61737
1730734451.153360669;11720;3077;3290;853;62512
1730734451.359613009;11720;3077;3290;853;62512
1730734451.565830542;11807;3074;3287;853;63478
1730734451.772069271;11807;3074;3287;853;63478
1730734451.978239038;11814;3029;3287;845;62608
1730734452.184532017;11814;3029;3287;845;62608
1730734452.390734773;11823;3002;3288;786;62577
1730734452.597087761;11823;3002;3288;786;62638
1730734452.803442873;11804;3104;3288;862;62638
1730734453.009613022;11804;3160;3291;829;63996
1730734453.215947742;11601;3160;3291;829;63996
1730734453.422245060;11914;3023;3287;792;64192
1730734453.628546854;11914;3023;3287;792;64192
