Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730738071.030372261;11843;2779;3288;835;54486
1730738071.236770347;11852;2637;3287;832;55362
1730738071.443063147;11852;2637;3287;832;53230
1730738071.649450438;11685;2680;3287;840;53230
1730738071.855794645;11849;2707;3288;840;54062
1730738072.061989090;11849;2707;3288;840;54062
1730738072.268371641;11843;2825;3288;845;53805
1730738072.474714924;11843;2825;3288;845;53805
1730738072.681089860;11846;2698;3290;851;55498
1730738072.887388918;11846;2698;3290;851;55498
1730738073.093714462;11856;2688;3290;851;53675
1730738073.300122755;11856;2688;3290;851;53675
1730738073.506339722;11846;2655;3285;784;54331
1730738073.712768216;11846;2655;3285;784;54331
1730738073.919166581;11833;2690;3286;813;53447
1730738074.125536655;11833;2690;3286;813;53447
1730738074.331829516;11846;2677;3288;853;54603
1730738074.538249691;11846;2677;3288;853;54603
1730738074.744522797;11772;2763;3287;789;53290
1730738074.950813384;11772;2763;3287;789;54259
1730738075.157154733;11840;2827;3289;856;54259
1730738075.363487073;11840;2827;3286;789;57071
1730738075.569831988;11649;2693;3286;789;57071
1730738075.776136710;11833;2693;3286;792;53514
1730738075.982326757;11833;2693;3286;792;53514
1730738076.188761480;11843;2739;3287;829;53820
1730738076.395130317;11843;2739;3287;829;53820
1730738076.601332671;11833;2728;3288;792;54319
1730738076.807699959;11833;2728;3288;792;54319
1730738077.013859072;11833;2658;3287;789;55441
1730738077.220100143;11833;2658;3287;789;55441
1730738077.426165078;11843;2717;3287;781;53043
1730738077.632600347;11843;2717;3287;781;53043
1730738077.838949987;11833;2752;3288;781;54350
1730738078.045282315;11833;2752;3288;781;54350
1730738078.251571752;11843;2795;3288;770;54569
1730738078.457814174;11843;2795;3288;770;55207
1730738078.664099881;11772;2672;3291;848;55207
1730738078.870450647;11772;2672;3291;848;53382
1730738079.076761583;11727;2766;3287;824;53382
1730738079.283126057;11856;2728;3288;784;54508
1730738079.489493613;11856;2728;3288;784;54508
1730738079.695763374;11843;2725;3285;776;54867
1730738079.902131999;11843;2725;3285;776;54867
1730738080.108537322;11865;2744;3289;786;55483
1730738080.314863768;11865;2744;3289;786;55483
1730738080.521141041;11827;2731;3288;837;53786
1730738080.727497640;11827;2731;3288;837;53786
1730738080.933710249;11843;2685;3287;792;55671
1730738081.140043278;11843;2685;3287;792;55671
1730738081.346378284;11849;2680;3287;805;53347
1730738081.552614086;11849;2680;3287;805;53347
1730738081.758892343;11852;2755;3287;856;54575
1730738081.965179264;11852;2755;3287;856;54675
1730738082.171506692;11852;2733;3287;784;54675
1730738082.377647228;11852;2733;3287;784;54073
1730738082.583872547;11852;2672;3287;786;54073
1730738082.790062417;11852;2768;3287;794;53232
1730738082.996403015;11852;2768;3287;794;53232
1730738083.202621868;11840;2715;3289;824;55801
1730738083.408866956;11840;2715;3289;824;55801
1730738083.615161628;11852;2739;3288;845;53327
1730738083.821475026;11852;2739;3288;845;53327
1730738084.027826876;11856;2666;3290;843;54630
1730738084.234083819;11856;2666;3290;843;54630
1730738084.440374658;11849;2712;3287;829;54214
1730738084.646641703;11849;2712;3287;829;54214
1730738084.852929839;11859;2758;3289;845;54765
1730738085.059190247;11859;2758;3289;845;54765
1730738085.265691905;11852;2591;3287;805;55286
1730738085.472805151;11852;2591;3287;805;52860
1730738085.679859961;11459;2752;3287;862;52860
1730738085.886944525;11459;2752;3287;862;55128
1730738086.094037257;11466;2696;3289;827;55128
1730738086.301207588;11466;2763;3288;832;54391
1730738086.508234044;11466;2763;3288;832;54391
1730738086.714319147;11801;2717;3288;819;52479
1730738086.920713434;11801;2717;3288;819;52479
1730738087.127011054;11843;2712;3287;816;54636
1730738087.333277723;11843;2712;3287;816;54636
1730738087.539518323;11804;2741;3287;832;53905
1730738087.745764108;11804;2741;3287;832;53905
1730738087.951991001;11840;2792;3287;776;55243
1730738088.158165504;11840;2792;3287;776;55243
1730738088.364493621;11846;2736;3288;805;55187
1730738088.570761390;11846;2736;3288;805;55187
1730738088.777041059;11840;2653;3289;851;55667
1730738088.983387259;11840;2653;3289;851;54236
1730738089.189773991;11933;2792;3289;867;54236
1730738089.395983860;11933;2792;3289;867;55922
1730738089.602189025;11856;2709;3287;784;55922
1730738089.808495031;11856;2739;3290;778;54495
1730738090.014741610;11856;2739;3290;778;54495
1730738090.221064672;11833;2704;3288;824;54734
1730738090.427335617;11833;2704;3288;824;54734
1730738090.633584845;11840;2744;3287;840;54021
1730738090.839917816;11840;2744;3287;840;54021
1730738091.046194846;11849;2658;3288;819;55347
1730738091.252668481;11849;2658;3288;819;55347
1730738091.458825749;11846;2752;3288;832;54500
