Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730735202.688016320;11759;3128;3288;805;65602
1730735202.894352444;11759;3128;3288;805;65602
1730735203.100775684;11811;3131;3288;786;64699
1730735203.307201786;11811;3131;3288;786;66761
1730735203.513413720;11817;3091;3287;794;66761
1730735203.719721889;11817;3238;3286;794;65371
1730735203.926044024;11620;3238;3286;794;65371
1730735204.132421393;11804;3082;3289;827;65902
1730735204.338759346;11804;3082;3289;827;65902
1730735204.545140098;11804;3136;3287;802;64093
1730735204.751362870;11804;3136;3287;802;64093
1730735204.957675378;11801;3155;3287;859;65295
1730735205.164235093;11801;3155;3287;859;65295
1730735205.371371969;11392;3219;3288;776;65358
1730735205.578457465;11392;3219;3288;776;65358
1730735205.785537672;11417;3174;3287;773;63658
1730735205.992575930;11417;3174;3287;773;63658
1730735206.199714135;11411;3053;3285;843;63958
1730735206.406745850;11411;3053;3285;843;63958
1730735206.613763635;11421;3144;3286;835;62992
1730735206.820071018;11421;3144;3286;835;64285
1730735207.026458986;11769;3007;3287;770;64285
1730735207.232705840;11695;3120;3288;800;62961
1730735207.438962640;11695;3120;3288;800;62961
1730735207.645266891;11807;3099;3287;808;64925
1730735207.851567965;11807;3099;3287;808;64925
1730735208.057893013;11817;3131;3287;848;64044
1730735208.264161638;11817;3131;3287;848;64044
1730735208.470590317;11820;3091;3287;832;66345
1730735208.676768062;11820;3091;3287;832;66345
1730735208.883037919;11814;3101;3289;851;65581
1730735209.089357007;11814;3101;3289;851;65581
1730735209.295752175;11807;3128;3288;789;64253
1730735209.502129853;11807;3128;3288;789;64253
1730735209.708369662;11814;3123;3287;789;63819
1730735209.914638447;11814;3123;3287;789;63819
1730735210.120880915;11823;3061;3287;832;64678
1730735210.327043605;11823;3061;3287;832;65259
1730735210.533308363;11814;2991;3287;768;65259
1730735210.739583078;11814;2991;3289;786;63536
1730735210.945831819;11643;3050;3289;786;63536
1730735211.152063063;11814;3069;3289;853;64024
1730735211.358379137;11814;3069;3289;853;64024
1730735211.564726976;11807;3050;3288;845;64710
1730735211.770897809;11807;3050;3288;845;64710
1730735211.977305731;11798;3099;3288;784;64384
1730735212.183728273;11798;3099;3288;784;64384
1730735212.389959028;11814;3117;3289;816;65442
1730735212.596264318;11814;3117;3289;816;65442
1730735212.802517958;11788;3104;3289;845;64382
1730735213.008888722;11788;3104;3289;845;64382
1730735213.215218504;11798;3115;3286;856;65521
1730735213.421509044;11798;3115;3286;856;65521
1730735213.627775934;11730;3088;3290;805;66556
1730735213.834039888;11730;3088;3290;805;63461
1730735214.040331029;11801;3147;3288;802;63461
1730735214.246495604;11801;3147;3288;802;65418
1730735214.452748471;11717;3185;3287;856;65418
1730735214.659008185;11807;3066;3289;853;65903
1730735214.865248464;11807;3066;3289;853;65903
1730735215.071507643;11801;3115;3286;792;63588
1730735215.277802997;11801;3115;3286;792;63588
1730735215.484137632;11807;3050;3287;878;65690
1730735215.690494392;11807;3050;3287;878;65690
1730735215.896738662;11785;3155;3287;781;65024
1730735216.103069184;11785;3155;3287;781;65024
1730735216.309425710;11804;3042;3290;827;65835
1730735216.515798723;11804;3042;3290;827;65835
1730735216.722000853;11804;3104;3287;768;65489
1730735216.928446786;11804;3104;3287;768;65489
1730735217.134784238;11807;3050;3285;824;64840
1730735217.341159823;11807;3050;3285;824;64747
1730735217.547495631;11791;3201;3288;816;64747
1730735217.753870075;11791;3201;3288;816;66033
1730735217.960154499;11827;3023;3286;773;66033
1730735218.166508684;11794;3096;3287;800;64491
1730735218.372721820;11794;3096;3287;800;64491
1730735218.579116855;11782;3206;3287;789;64832
1730735218.785584246;11782;3206;3287;789;64832
1730735218.991843643;11823;3099;3288;848;66937
1730735219.198023595;11823;3099;3288;848;66937
1730735219.404365695;11804;3155;3287;778;65809
1730735219.610671233;11804;3155;3287;778;65809
1730735219.816880176;11785;3120;3287;781;65938
1730735220.023327724;11785;3120;3287;781;65938
1730735220.230431833;11398;3327;3287;835;65174
1730735220.437516322;11398;3327;3287;835;65174
1730735220.644529922;11398;3228;3287;840;65697
1730735220.851503523;11398;3228;3287;840;65890
1730735221.057979688;11827;3088;3287;773;65890
1730735221.264323912;11827;3088;3287;773;64919
1730735221.470499871;11807;3037;3287;819;64919
1730735221.676762151;11785;3093;3288;843;62610
1730735221.883084295;11785;3093;3288;843;62610
1730735222.089397192;11817;3082;3288;813;65816
1730735222.295647315;11817;3082;3288;813;65816
1730735222.501969994;11775;3082;3289;784;65929
1730735222.708276924;11775;3082;3289;784;65929
1730735222.914511422;11894;3219;3288;824;64807
1730735223.120815638;11894;3219;3288;824;64807
