Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730740269.208146178;11801;3107;3289;845;63770
1730740269.414562566;11801;3107;3289;845;63770
1730740269.620836482;11817;3069;3288;776;63764
1730740269.827145916;11817;3069;3288;776;63853
1730740270.033572776;11785;2908;3287;872;63853
1730740270.239797195;11595;3015;3289;856;61113
1730740270.446032793;11595;3015;3289;856;61113
1730740270.652676131;11833;3040;3287;853;61330
1730740270.859054061;11833;3040;3287;853;61330
1730740271.065516066;11820;2988;3287;773;63690
1730740271.271808924;11820;2988;3287;773;63690
1730740271.477983089;11817;3136;3287;859;62122
1730740271.684405110;11817;3136;3287;859;62122
1730740271.890680122;11811;3050;3287;800;63928
1730740272.096965045;11811;3050;3287;800;63928
1730740272.303198829;11820;3104;3290;845;63215
1730740272.509570360;11820;3104;3290;845;63215
1730740272.715893104;11817;3048;3288;784;64235
1730740272.922145105;11817;3048;3288;784;64235
1730740273.128566825;11817;3072;3287;794;62190
1730740273.334892911;11817;3072;3287;794;63218
1730740273.541458267;11807;3040;3287;781;63218
1730740273.748181280;11807;3040;3285;776;62623
1730740273.954889391;11330;3160;3285;776;62623
1730740274.161149937;11833;3085;3289;835;61035
1730740274.367731613;11833;3085;3289;835;61035
1730740274.574219072;11817;3139;3289;845;64836
1730740274.780832872;11817;3139;3289;845;64836
1730740274.987283094;11833;2983;3290;837;64719
1730740275.193800633;11833;2983;3290;837;64719
1730740275.400597318;11836;2994;3288;840;63154
1730740275.607122288;11836;2994;3288;840;63154
1730740275.813594553;11830;3018;3290;843;63192
1730740276.020039061;11830;3018;3290;843;63192
1730740276.226150100;11827;3074;3288;819;61732
1730740276.432601536;11827;3074;3288;819;61732
1730740276.638975867;11804;3056;3287;821;64413
1730740276.845392036;11804;3056;3287;821;63165
1730740277.051583864;11814;3042;3287;813;63165
1730740277.257981939;11814;3042;3289;816;63767
1730740277.464328286;11630;3064;3289;816;63767
1730740277.670557593;11811;3026;3286;837;63081
1730740277.876879780;11811;3026;3286;837;63081
1730740278.083181377;11827;3007;3287;797;62633
1730740278.289471729;11827;3007;3287;797;62633
1730740278.495620812;11727;2956;3288;864;64033
1730740278.701811270;11727;2956;3288;864;64033
1730740278.908024126;11836;3015;3287;853;62534
1730740279.114262347;11836;3015;3287;853;62534
1730740279.320628158;11840;2978;3287;837;62531
1730740279.526844639;11840;2978;3287;837;62531
1730740279.733164996;11811;3042;3290;821;62695
1730740279.939384714;11811;3042;3290;821;62695
1730740280.145606485;11811;3010;3287;816;61683
1730740280.351853523;11811;3010;3287;816;62830
1730740280.558044802;11830;3021;3287;851;62830
1730740280.764566172;11830;3021;3287;851;62820
1730740280.970923657;11698;3254;3289;778;62820
1730740281.177363194;11817;3072;3287;808;65598
1730740281.383712811;11817;3072;3287;808;65598
1730740281.589994521;11836;3040;3289;851;64294
1730740281.796317515;11836;3040;3289;851;64294
1730740282.002619587;11807;3117;3289;867;62964
1730740282.208886090;11807;3117;3289;867;62964
1730740282.415164940;11814;3021;3287;792;64951
1730740282.621561524;11814;3021;3287;792;64951
1730740282.827994372;11446;3053;3289;786;62308
1730740283.035181263;11446;3053;3289;786;62308
1730740283.242373769;11414;3195;3291;840;61818
1730740283.449379179;11414;3195;3291;840;61818
1730740283.656467864;11443;3015;3290;837;63468
1730740283.863489168;11443;3015;3290;837;60452
1730740284.070423151;11421;3074;3287;784;60452
1730740284.276872671;11421;3074;3286;800;62083
1730740284.483198821;11620;2975;3286;800;62083
1730740284.689531650;11827;3082;3289;792;60963
1730740284.895685731;11827;3082;3289;792;60963
1730740285.101889294;11820;3045;3287;816;63570
1730740285.308093952;11820;3045;3287;816;63570
1730740285.514203429;11833;3115;3287;805;64372
1730740285.720702893;11833;3115;3287;805;64372
1730740285.926890916;11920;2991;3290;837;64696
1730740286.133286612;11920;2991;3290;837;64696
1730740286.339477551;11920;3010;3288;797;63095
1730740286.545844039;11920;3010;3288;797;63095
1730740286.752056469;11820;3066;3290;864;63977
1730740286.958218518;11820;3066;3290;864;63977
1730740287.164435947;11823;3034;3288;786;63821
1730740287.370633180;11823;3034;3288;786;63734
1730740287.576880934;11823;2986;3289;851;63734
1730740287.783194122;11823;2986;3289;851;62873
1730740287.989605001;11814;3125;3287;789;62873
1730740288.195811008;11811;3120;3288;848;64952
1730740288.402139506;11811;3120;3288;848;64952
1730740288.608494324;11823;3010;3288;816;64159
1730740288.814704185;11823;3010;3288;816;64159
1730740289.021111487;11817;3096;3288;802;63319
1730740289.227340964;11817;3096;3288;802;63319
1730740289.433692360;11833;2956;3287;819;62947
1730740289.640011934;11833;2956;3287;819;62947
