Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730736067.978248468;11778;3397;3289;829;72846
1730736068.184771456;11778;3397;3289;829;72846
1730736068.391052518;11785;3375;3289;853;72681
1730736068.597272353;11785;3375;3289;853;72681
1730736068.803837536;11869;3488;3285;811;73488
1730736069.010159175;11869;3488;3285;811;73715
1730736069.216541926;11772;3432;3288;853;73715
1730736069.422939180;11772;3432;3288;853;73933
1730736069.629266338;11762;3445;3287;859;73933
1730736069.835599821;11778;3391;3289;840;73611
1730736070.041661779;11778;3391;3289;840;73611
1730736070.247956972;11775;3448;3287;832;72890
1730736070.454248502;11775;3448;3287;832;72890
1730736070.660794612;11753;3373;3287;781;72313
1730736070.867172382;11753;3373;3287;781;72313
1730736071.073545032;11759;3402;3287;837;72479
1730736071.279824139;11759;3402;3287;837;72479
1730736071.485974861;11769;3381;3290;824;73197
1730736071.692165169;11769;3381;3290;824;73197
1730736071.898434301;11778;3415;3286;870;71802
1730736072.104786559;11778;3415;3286;870;71802
1730736072.311167056;11724;3313;3287;862;73716
1730736072.517420969;11724;3313;3287;862;73716
1730736072.723744387;11772;3338;3288;786;72027
1730736072.930002528;11772;3338;3288;786;72486
1730736073.136291732;11769;3308;3285;773;72486
1730736073.342422496;11785;3340;3288;827;70956
1730736073.548785554;11785;3340;3288;827;70956
1730736073.754923376;11772;3359;3287;840;72853
1730736073.961264800;11772;3359;3287;840;72853
1730736074.167679001;11759;3348;3287;773;72121
1730736074.373839221;11759;3348;3287;773;72121
1730736074.580022967;11765;3354;3288;843;72407
1730736074.786544188;11765;3354;3288;843;72407
1730736074.992836230;11765;3402;3288;845;72587
1730736075.199126019;11765;3402;3288;845;72587
1730736075.405474592;11778;3402;3288;837;73866
1730736075.611646997;11778;3402;3288;837;73866
1730736075.818032773;11785;3458;3288;808;73123
1730736076.024412969;11785;3458;3288;808;73123
1730736076.230613526;11765;3386;3287;813;74102
1730736076.436922466;11765;3386;3287;813;72320
1730736076.643162473;11614;3399;3285;789;72320
1730736076.849444529;11759;3405;3289;776;72035
1730736077.055840839;11759;3405;3289;776;72035
1730736077.262039058;11762;3399;3288;845;73348
1730736077.468452951;11762;3399;3288;845;73348
1730736077.674768392;11759;3375;3288;837;73314
1730736077.881017089;11759;3375;3288;837;73314
1730736078.087371218;11785;3362;3289;845;72773
1730736078.293727410;11785;3362;3289;845;72773
1730736078.500005721;11782;3386;3288;872;73557
1730736078.706312440;11782;3386;3288;872;73557
1730736078.912617889;11856;3475;3288;776;73015
1730736079.119062012;11856;3475;3288;776;73015
1730736079.325505251;11765;3373;3287;773;74729
1730736079.531790245;11765;3373;3287;773;74729
1730736079.738027164;11753;3370;3288;845;72349
1730736079.944440904;11753;3370;3288;845;72313
1730736080.150759289;11749;3475;3288;770;72313
1730736080.357069217;11520;3394;3287;835;72756
1730736080.563570163;11520;3394;3287;835;72756
1730736080.769795534;11762;3442;3287;832;72404
1730736080.976069741;11762;3442;3287;832;72404
1730736081.182421044;11769;3415;3285;813;74255
1730736081.388725790;11769;3415;3285;813;74255
1730736081.594893069;11759;3429;3288;792;72618
1730736081.801402736;11759;3429;3288;792;72618
1730736082.007684611;11743;3534;3287;765;73535
1730736082.213784488;11743;3534;3287;765;73535
1730736082.420159159;11778;3351;3287;786;73336
1730736082.626510755;11778;3351;3287;786;73336
1730736082.832944625;11775;3295;3286;786;73564
1730736083.040026294;11775;3295;3286;786;73564
1730736083.247136059;11366;3448;3291;821;71570
1730736083.454174266;11366;3448;3291;821;71330
1730736083.661230070;11366;3421;3289;856;71330
1730736083.868268992;11243;3450;3286;827;71579
1730736084.075243135;11243;3450;3286;827;71579
1730736084.281540564;11775;3305;3288;829;71050
1730736084.487873039;11775;3305;3288;829;71050
1730736084.694230527;11772;3397;3289;843;72442
1730736084.900658122;11772;3397;3289;843;72442
1730736085.107139438;11769;3322;3287;843;73123
1730736085.313642376;11769;3322;3287;843;73123
1730736085.519859222;11769;3394;3287;851;71836
1730736085.726026971;11769;3394;3287;851;71836
1730736085.932466665;11762;3477;3287;821;74160
1730736086.138819297;11762;3477;3287;821;74160
1730736086.345280966;11785;3324;3287;786;73496
1730736086.551520642;11785;3324;3287;786;73496
1730736086.757870983;11785;3432;3287;778;72502
1730736086.964147559;11785;3432;3287;778;73707
1730736087.170424290;11778;3354;3289;848;73707
1730736087.376780742;11778;3354;3289;776;73389
1730736087.583068293;11585;3413;3289;776;73389
1730736087.789461483;11772;3356;3287;805;71816
1730736087.995742903;11772;3356;3287;805;71816
1730736088.201964055;11778;3429;3289;776;71971
1730736088.408379433;11778;3429;3289;776;71971
