
Time;User;Nice;Sys;Idle;IO;Run;Ctxt/s;IRQ/s;Fork;Exec;Exit;Watts;
15:59:01;0.0;0.0;0.0;100.0;0.0;1;526;522;0;0;0;15.38
15:59:02;0.1;0.0;0.0;99.9;0.0;2;944;380;10;9;7;15.81
15:59:02;0.2;0.0;0.1;99.6;0.0;1;1616;918;6;7;6;17.44
15:59:03;0.0;0.0;0.1;99.9;0.0;1;280;200;0;0;0;14.49
15:59:03;0.0;0.0;0.0;100.0;0.0;1;1002;828;21;17;21;17.23
15:59:04;0.0;0.0;0.0;100.0;0.0;1;352;296;0;0;0;14.47
15:59:04;0.0;0.0;0.1;99.8;0.1;1;574;426;9;5;12;15.00
15:59:05;0.0;0.0;0.0;100.0;0.0;1;278;272;0;0;0;14.43
15:59:05;2.5;0.0;0.1;97.4;0.0;2;728;598;6;5;1;28.20
15:59:06;6.1;0.0;0.1;93.8;0.0;2;398;666;0;0;0;47.14
15:59:06;6.2;0.0;0.2;93.4;0.1;2;762;868;14;14;11;48.00
15:59:07;6.2;0.0;0.0;93.8;0.0;2;300;612;0;0;0;47.13
15:59:07;6.1;0.0;0.1;93.7;0.0;2;766;832;13;7;16;47.89
15:59:08;6.2;0.0;0.0;93.8;0.0;2;368;620;0;0;0;47.62
15:59:08;6.1;0.0;0.2;93.6;0.0;2;332;574;0;0;0;47.94
15:59:09;6.1;0.0;0.1;93.8;0.0;2;248;570;0;0;0;48.11
15:59:09;6.1;0.0;0.0;93.7;0.1;2;340;612;0;0;0;48.43
15:59:10;6.4;0.0;0.0;93.6;0.0;2;436;644;0;0;0;48.52
15:59:10;6.1;0.0;0.1;93.8;0.0;2;256;560;0;0;0;48.53
15:59:11;6.2;0.0;0.0;93.8;0.0;2;256;580;0;0;0;48.51
15:59:11;6.1;0.0;0.2;93.6;0.0;2;692;806;14;14;11;49.36
15:59:12;6.1;0.0;0.1;93.7;0.0;2;380;618;0;0;0;48.74
15:59:12;6.2;0.0;0.1;93.6;0.0;2;1206;980;13;7;16;49.62
15:59:13;6.2;0.0;0.1;93.6;0.0;2;458;694;1;1;1;48.88
15:59:13;6.2;0.0;0.0;93.8;0.0;2;444;642;0;0;0;48.82
15:59:14;4.6;0.0;1.8;93.6;0.0;2;494;662;0;0;0;52.14
15:59:14;5.9;0.0;0.4;93.5;0.2;2;736;728;0;0;0;61.07
15:59:15;6.3;0.0;0.0;93.7;0.0;2;702;792;0;0;0;61.63
